Modelo,Marca,Tipo de veículo,Ano,Quilometragem,Potência do motor,Combustível,Câmbio,Direção,Cor,Portas,Final de placa,Vidro elétrico,Trava elétrica,Ar condicionado,Direção hidráulica,Som,Air bag,Alarme,Sensor de ré,Câmera de ré,Blindado,Valor
VW - VOLKSWAGEN POLO COMFORT. 200 TSI 1.0 FLEX 12V AUT.,VW - VOLKSWAGEN,Hatch,2018,53000,1,Flex,Automático,Elétrica,Vermelho,4,8,1,1,1,1,1,1,1,1,1,0,62900
TOYOTA COROLLA XEI 2.0 FLEX 16V AUT.,TOYOTA,Sedã,2016,112000,2,Flex,Automático,Elétrica,Prata,4,6,1,1,1,0,1,1,1,0,1,0,72000
AUDI A3 SEDAN 1.4/ ATTRA. 16V TB FSI S-TRONIC,AUDI,Sedã,2015,57000,1.4,Flex,Automático,Elétrica,Branco,4,3,1,1,1,1,1,1,1,1,1,0,89990
RENAULT SANDERO STEPWAY HI-FLEX 1.6 16V 5P AUT.,RENAULT,Hatch,2013,70000,1.6,Flex,Automático,Hidráulica,Prata,4,2,1,1,1,1,1,1,1,1,0,0,32000
FIAT DOBLO CARGO 1.8 MPI FIRE FLEX 8V/16V 4P,FIAT,Van/Utilitário,2009,99000,1.8,Flex,Manual,Hidráulica,Prata,4,9,1,1,1,1,0,1,1,0,0,0,20000
JINBEI TOPIC VAN LON./GRAN TOPIC SL,JINBEI,Van/Utilitário,2011,500000,2,Gasolina,Manual,Hidráulica,Branco,4,5,1,1,1,1,0,1,1,0,0,0,25000
RENAULT DUSTER DYNAMIQUE 2.0 HI-FLEX 16V AUT.,RENAULT,SUV,2014,0,2,Gasolina,Automático,Hidráulica,Prata,4,4,1,1,1,1,1,1,1,1,1,0,42000
FORD KA 1.0 8V/1.0 8V ST FLEX 3P,FORD,Hatch,1998,63000,1,Flex,Manual,Mecânica,Azul,2,1,0,1,0,0,1,0,0,0,0,0,6000
GM - CHEVROLET CORSA SED.WIND 1.0/MILLENIUM/CLASSIC VHC,GM - CHEVROLET,Sedã,1999,1,1,Gasolina,Manual,Hidráulica,Verde,4,7,1,0,1,1,0,0,0,0,0,0,10900
VW - VOLKSWAGEN GOL 1.6 MSI FLEX 8V 5P,VW - VOLKSWAGEN,Hatch,2017,0,1.6,Flex,Manual,Hidráulica,Preto,4,9,1,1,1,1,1,1,1,0,0,0,39000
FIAT PUNTO ATTRACTIVE 1.4 FIRE FLEX 8V 5P,FIAT,null,2012,110000,1.4,Flex,Manual,Hidráulica,Preto,4,6,1,1,1,1,1,0,1,0,0,0,24500
VW - VOLKSWAGEN POLO SEDAN 1.6 MI 101CV 8V 4P,VW - VOLKSWAGEN,Sedã,2004,170000,1.6,Gasolina,Manual,Hidráulica,Prata,4,1,1,1,1,1,0,0,1,0,0,0,15500
TOYOTA ETIOS PLATINUM SED. 1.5 FLEX 16V 4P AUT.,TOYOTA,Sedã,2018,70000,1.5,Flex,Automático,Elétrica,Prata,4,8,1,1,1,0,1,1,1,1,1,0,54990
FIAT TORO VOLCANO 2.0 16V 4X4 TB DIESEL AUT.,FIAT,Pick-up,2019,50000,2,Diesel,Automático,Elétrica,Branco,4,9,1,1,1,1,1,1,1,1,1,0,127000
FIAT DUCATO MINIBUS 2.8 DIESEL,FIAT,Van/Utilitário,2007,418000,2,Diesel,Manual,Hidráulica,Branco,4,1,0,0,0,1,1,0,0,0,0,0,43000
GM - CHEVROLET AGILE LT 1.4 MPFI 8V FLEXPOWER 5P,GM - CHEVROLET,Passeio,2013,1,1.4,Flex,Manual,Hidráulica,Preto,4,3,1,1,1,0,1,1,1,0,0,0,23500
FORD RANGER XLT 3.2 20V 4X4 CD DIESEL AUT.,FORD,Pick-up,2018,50000,3,Diesel,Automático,Elétrica,Cinza,4,2,1,1,1,0,1,1,1,1,1,0,150000
VW - VOLKSWAGEN GOLF SPORTLINE 1.6 MI TOTAL FLEX 8V 4P,VW - VOLKSWAGEN,Passeio,2012,131125,1.6,Flex,Manual,Hidráulica,Branco,4,6,1,1,1,1,1,1,1,1,0,0,43990
FORD FOCUS SEDAN 2.0 16V/2.0 16V FLEX 4P AUT.,FORD,Passeio,2014,123569,2,Flex,Automático,Elétrica,Prata,4,6,1,1,1,1,1,1,1,1,0,0,48000
RENAULT SANDERO GT LINE HI-FLEX 1.6 16V 4P,RENAULT,Hatch,2011,93,1.6,Flex,Manual,Hidráulica,Preto,4,2,1,1,1,1,1,1,1,1,0,0,22000
NISSAN VERSA SL 1.6 16V FLEX FUEL 4P MEC.,NISSAN,Sedã,2013,90000,null,null,Manual,Elétrica,Cinza,4,8,1,1,1,0,1,1,1,0,0,0,33500
,null,null,2013,107000,null,null,null,null,null,4,null,1,1,1,0,0,0,0,0,0,0,29000
FIAT PALIO WAY CELEBRATION 1.0 F. FLEX 8V 5P,FIAT,Hatch,2015,91000,1,Flex,Manual,Hidráulica,Vermelho,4,5,1,1,1,1,1,1,1,0,0,0,28800
TOYOTA COROLLA GLI 1.8 FLEX 16V AUT.,TOYOTA,Sedã,2015,81000,1.8,Gasolina,Automático,Elétrica,Prata,4,0,1,1,1,0,1,1,1,1,1,0,59000
HONDA CIVIC SEDAN EXL 2.0 FLEX 16V AUT.4P,HONDA,Sedã,2017,70000,2,Flex,Automático,Elétrica,Prata,4,1,1,1,1,1,1,1,1,1,1,0,88900
VW - VOLKSWAGEN GOL 1.6 MSI FLEX 8V 5P,VW - VOLKSWAGEN,Hatch,2019,61000,1.6,Flex,Manual,Hidráulica,Branco,4,1,1,1,1,1,1,1,1,0,0,0,42990
VW - VOLKSWAGEN FOX HIGHLINE1.6 FLEX 16V 5P,VW - VOLKSWAGEN,Hatch,2016,70000,1.6,Flex,Manual,Elétrica,Branco,4,2,1,1,1,1,1,1,1,1,0,0,38500
VW - VOLKSWAGEN JETTA COMFORTLINE 2.0 T.FLEX 8V 4P TIPT.,VW - VOLKSWAGEN,Sedã,2012,118200,2,Flex,Automático,Hidráulica,Branco,4,9,1,1,1,1,1,1,1,0,0,0,47990
GM - CHEVROLET ONIX HATCH LS 1.0 8V FLEXPOWER 5P MEC.,GM - CHEVROLET,Hatch,2016,43287,1,Flex,Manual,Hidráulica,Branco,4,2,0,0,1,1,0,0,0,0,0,0,38000
RENAULT,RENAULT,SUV,2013,99240,1.6,Flex,Manual,Hidráulica,Branco,4,1,1,1,1,1,0,1,1,0,0,0,31000
GM - CHEVROLET ONIX HATCH JOY 1.0 8V FLEX 5P MEC.,GM - CHEVROLET,Passeio,2017,62000,1,Flex,Manual,Hidráulica,Cinza,null,null,1,1,1,1,1,1,1,0,0,0,42000
GM - CHEVROLET CELTA LIFE 1.0 MPFI VHC 8V 3P,GM - CHEVROLET,Hatch,2002,112000,1,Gasolina,Manual,Mecânica,Prata,2,2,0,0,1,0,0,0,0,0,0,0,11000
