Modelo,Marca,Tipo de veículo,Ano,Quilometragem,Potência do motor,Combustível,Câmbio,Direção,Cor,Portas,Final de placa,Vidro elétrico,Trava elétrica,Ar condicionado,Direção hidráulica,Som,Air bag,Alarme,Sensor de ré,Câmera de ré,Blindado,Valor
FIAT DOBLO ESSENCE 1.8 FLEX 16V 5P,FIAT,Van/Utilitário,2012,205000,1.8,Flex,Manual,Hidráulica,Outra,4,8,1,1,1,1,1,0,0,0,0,0,29000
FORD FUSION TITANIUM 2.0 GTDI ECO. AWD AUT.,FORD,Sedã,2013,89000,2,Gasolina,Automático,Elétrica,Vermelho,4,8,1,1,1,1,1,1,1,1,1,0,78500
HONDA CIVIC SEDAN EXL 2.0 FLEX 16V AUT.4P,HONDA,Sedã,2017,70000,2,Flex,Automático,Elétrica,Prata,4,1,1,1,1,1,1,1,1,1,1,0,88900
FIAT TORO FREEDOM 2.0 16V 4X4 DIESEL AUT.,FIAT,Pick-up,2019,38000,2,Diesel,Automático,Hidráulica,Vermelho,4,4,1,1,1,1,1,1,1,1,1,0,117000
GM - CHEVROLET ONIX HATCH LS 1.0 8V FLEXPOWER 5P MEC.,GM - CHEVROLET,Hatch,2016,43287,1,Flex,Manual,Hidráulica,Branco,4,2,0,0,1,1,0,0,0,0,0,0,38000
HYUNDAI HB20S EVOLUTION 1.0 TB FLEX 12V AUT,HYUNDAI,Sedã,2020,0,1,Flex,Automático,Elétrica,Branco,4,null,1,1,1,0,1,1,1,1,0,0,77990
HYUNDAI TUCSON 2.0 16V MEC.,HYUNDAI,SUV,2012,139535,2,Gasolina,Manual,Elétrica,Prata,4,8,1,1,1,1,1,1,1,1,0,0,31000
VW - VOLKSWAGEN GOL GL 1.6 MI/STAR 1.6 E 1.8/ATLANTA 1.6,VW - VOLKSWAGEN,Passeio,1989,160856,1.6,Gasolina,Manual,Mecânica,Prata,2,8,1,1,0,0,1,0,1,0,0,0,18500
VW - VOLKSWAGEN GOL 1.6 MSI FLEX 8V 5P,VW - VOLKSWAGEN,Hatch,2019,61000,1.6,Flex,Manual,Hidráulica,Branco,4,1,1,1,1,1,1,1,1,0,0,0,42990
CITROEN C3 XTR 1.6 FLEX 16V 5P,CITROEN,Hatch,2010,1,1.6,Flex,Manual,Elétrica,Preto,4,4,1,1,1,0,0,1,1,0,0,0,19400
FORD ECOSPORT XLT 2.0/ 2.0 FLEX 16V 5P AUT.,FORD,SUV,2011,82000,2,Flex,Automático,Hidráulica,Preto,4,2,1,1,1,1,1,1,1,1,1,0,27999
VW - VOLKSWAGEN GOL (NOVO) 1.0 MI TOTAL FLEX 8V 4P,VW - VOLKSWAGEN,Hatch,2013,112000,1,Flex,Manual,Hidráulica,Prata,4,7,1,1,1,1,1,0,1,0,0,0,26500
FORD FIESTA SED. 1.6 8V FLEX 4P,FORD,Passeio,2008,0,1.6,Flex,Manual,Hidráulica,Prata,4,4,1,1,1,1,1,1,1,0,0,0,14000
FIAT UNO VIVACE CELEB. 1.0 EVO F.FLEX 8V 5P,FIAT,Hatch,2011,0,1,Flex,Manual,Hidráulica,Prata,4,5,1,0,1,1,1,0,0,0,0,0,19000
,null,null,2006,9,null,Diesel,Automático,null,null,4,null,1,1,1,1,1,0,1,0,0,0,42000
GM - CHEVROLET CRUZE LT 1.8 16V FLEXPOWER 4P AUT.,GM - CHEVROLET,Hatch,2015,60000,1.8,Flex,Automático,Hidráulica,Branco,4,0,1,1,1,1,1,1,1,1,0,0,56500
FIAT DOBLO CARGO 1.8 MPI FIRE FLEX 8V/16V 4P,FIAT,Van/Utilitário,2009,99000,1.8,Flex,Manual,Hidráulica,Prata,4,9,1,1,1,1,0,1,1,0,0,0,20000
KIA MOTORS SPORTAGE EX 2.0 16V/ 2.0 16V FLEX AUT.,KIA MOTORS,SUV,2013,68000,2,Flex,Automático,Elétrica,Prata,4,6,1,1,1,1,1,1,1,1,1,0,65000
FIAT PALIO WEEK. ADV. DUALOGIC 1.8 FLEX,FIAT,Van/Utilitário,2011,120000,1.8,Flex,Semi-Automático,Hidráulica,Prata,4,6,1,1,1,1,1,1,1,1,0,0,24000
