modelo,marca,combustivel,cambio,direcao,cor,ano,quilometragem,potenciamotor,blindado,valor
1836,29,6,0,1,0,2021,2100,2,0,299999
1610,29,4,0,1,0,2018,59065,1.4,0,133000
1610,29,4,0,1,0,2018,59065,1.4,0,135000
2099,46,4,0,1,0,2017,50000,2,0,155000
1363,41,4,2,1,0,2018,78000,1,0,55000
1414,41,4,2,1,9,2020,50000,1.8,0,81000
2205,41,4,1,1,7,2019,35000,1,0,45000
1463,41,4,2,2,0,2017,47000,1,0,35000
273,41,4,2,2,0,2020,20000,1,0,47000
273,41,4,2,2,7,2018,70000,1,0,42000
238,41,4,2,2,0,2017,12,1,0,35500
462,41,4,2,1,7,2021,8000,1.4,0,84900
1062,41,4,2,1,5,2021,2674,1.3,0,93900
1062,41,4,2,1,0,2021,2000,1.3,0,95000
2362,41,4,2,1,7,2021,300,1.4,0,99900
2362,41,4,2,1,2,2021,4000,1.3,0,98800
2362,41,4,2,1,0,2021,10000,1.3,0,98000
2362,41,4,2,2,2,2021,12000,1.3,0,99900
2362,41,4,2,1,0,2021,18000,1.3,0,101000
104,41,4,2,2,9,2018,52000,1.4,0,55000
11,41,4,2,2,9,2018,38000,1.4,0,68000
2096,41,4,2,2,0,2018,51248,1.4,0,54000
2096,41,4,2,2,0,2018,62150,1.4,0,53500
2096,41,4,2,2,0,2018,96000,1.4,0,53000
2593,41,4,2,1,9,2021,1700,1.8,0,99900
2593,41,4,2,1,0,2021,10000,1.8,0,99500
2593,41,4,2,1,0,2021,13000,1.8,0,99000
2593,41,4,2,1,0,2021,13000,1.8,0,99500
2240,41,4,0,1,5,2021,6000,1.8,0,119500
2240,41,4,0,1,2,2019,24278,1.8,0,105000
2240,41,4,0,1,0,2019,6500,1.8,0,103500
2036,41,5,0,1,0,2019,12700,2,0,129990
2036,41,5,0,1,8,2019,23000,2,0,129800
584,41,5,2,1,9,2018,125000,2,0,113000
543,41,4,0,1,0,2018,50000,2,0,97990
543,41,4,0,2,0,2018,57000,2,0,98000
543,41,4,0,2,0,2018,57000,2,0,101000
412,41,5,0,1,0,2022,10,2,0,181990
412,41,5,0,1,9,2022,10,2,0,183990
995,41,5,0,1,0,2021,1017,2,0,168990
995,41,5,0,1,0,2019,54000,2,0,142000
995,41,5,0,1,0,2018,70000,2,0,130990
2556,41,5,0,1,0,2019,48600,2,0,123000
2556,41,5,0,1,0,2019,37000,2,0,123500
1755,9,4,0,1,9,2019,15000,1.5,0,76990
1755,9,4,0,1,0,2019,27000,1.5,0,76990
787,9,4,0,1,0,2019,25000,1.5,0,74990
1045,9,4,0,1,7,2018,60000,2,0,80990
