modelo,marca,combustivel,cambio,direcao,cor,ano,quilometragem,potenciamotor,blindado,valor
2,40,4,2,2,9,2016,98567,1.0,0,25000
2,40,4,2,2,9,2016,80000,1.0,0,27000
6,34,5,0,2,0,2015,190000,3.0,0,110000
6,34,5,0,2,7,2015,110000,3.0,0,110000
6,34,5,0,2,9,2015,167000,3.0,0,110000
6,34,5,0,2,0,2015,162000,3.0,0,115000
6,34,5,0,2,5,2015,168000,3.0,0,105000
6,34,5,0,2,0,2015,138500,3.0,0,117000
6,34,5,0,1,8,2016,150000,3.0,0,113000
9,9,4,2,2,0,2015,55000,1.6,0,38400
11,41,4,2,2,0,2018,60,1.4,0,59990
11,41,4,2,2,9,2018,40000,1.4,0,58500
11,41,4,2,2,2,2016,77575,1.4,0,56500
11,41,4,2,2,0,2018,89000,1.4,0,58000
11,41,4,2,2,0,2017,48000,1.4,0,62500
11,41,4,2,2,0,2018,59000,1.4,0,67000
11,41,4,2,2,9,2015,100,1.4,0,54800
11,41,4,2,2,5,2016,121000,1.4,0,53000
11,41,4,2,2,0,2019,60000,1.4,0,65990
11,41,4,2,2,9,2018,52000,1.4,0,64500
11,41,4,2,2,9,2018,38000,1.4,0,68000
11,41,4,2,2,9,2017,50,1.4,0,62990
11,41,4,2,2,0,2019,69000,1.4,0,67900
11,41,4,2,2,9,2017,60,1.4,0,63500
11,41,4,2,2,0,2016,71000,1.4,0,58000
11,41,4,2,2,9,2016,57000,1.4,0,61300
11,41,4,2,2,0,2018,58000,1.4,0,65000
11,41,4,2,2,0,2015,110,1.4,0,56500
11,41,4,2,2,2,2016,127000,1.4,0,60000
11,41,4,2,2,2,2015,86000,1.4,0,54000
11,41,4,2,2,2,2015,86619,1.4,0,52000
11,41,4,2,2,0,2019,34000,1.4,0,68500
11,41,4,2,2,0,2018,42000,1.4,0,65800
13,40,4,2,1,9,2019,20000,1.0,0,42000
13,40,4,2,1,8,2019,22000,1.0,0,39000
13,40,4,2,2,0,2019,41500,1.0,0,38500
13,40,4,2,2,9,2018,33502,1.0,0,38000
13,40,4,2,1,7,2019,54900,1.0,0,41500
13,40,4,2,1,0,2019,42000,1.0,0,38500
13,40,4,2,2,0,2019,8000,1.0,0,41000
13,40,4,2,1,4,2017,35000,1.0,0,35000
13,40,4,2,2,0,2018,40000,1.0,0,37500
13,40,4,2,1,9,2019,39200,1.0,0,41900
18,25,4,0,1,5,2016,50000,2.0,0,123800
19,40,4,0,2,0,2018,28000,1.6,0,59990
19,40,4,0,2,0,2019,25116,1.6,0,65000
19,40,4,0,1,0,2019,25000,1.6,0,64999
21,49,4,2,1,0,2018,26800,1.0,0,46500
23,45,4,0,2,7,2019,23000,1.6,0,62900
23,45,4,2,1,5,2019,46900,1.6,0,62000
23,45,4,2,1,2,2018,40000,1.6,0,58000
25,49,4,0,2,0,2016,50,2.0,0,55000
25,49,4,0,2,9,2015,35000,2.0,0,50000
25,49,4,0,2,5,2016,42000,2.0,0,55000
26,30,4,0,1,5,2018,40000,2.0,0,103000
26,30,4,0,1,0,2018,58000,2.0,0,99000
26,30,4,0,2,2,2017,25800,2.0,0,106500
26,30,4,0,1,7,2017,70000,2.0,0,108000
26,30,4,0,2,7,2018,36800,2.0,0,100000
26,30,4,0,1,9,2017,38000,2.0,0,106000
26,30,4,0,1,5,2018,63000,2.0,0,108900
26,30,4,0,1,5,2018,47000,2.0,0,107000
26,30,4,0,3,9,2018,23500,2.0,0,109000
26,30,4,0,2,8,2018,30800,2.0,0,105000
26,30,4,0,1,0,2017,35000,2.0,0,109500
26,30,4,0,1,5,2018,30000,2.0,0,107000
26,30,4,0,1,0,2018,29000,2.0,0,110000
26,30,4,0,1,0,2018,69000,2.0,0,101000
26,30,4,0,1,0,2017,35000,2.0,0,108900
26,30,4,0,1,5,2018,39614,2.0,0,109990
26,30,4,0,1,0,2018,49500,2.0,0,107000
26,30,4,0,1,0,2018,35000,2.0,0,107000
26,30,4,0,1,7,2018,27000,2.0,0,108900
26,30,4,0,1,5,2018,31000,2.0,0,110000
26,30,4,0,1,0,2017,49000,2.0,0,103000
26,30,4,0,1,0,2017,62,2.0,0,105000
26,30,4,0,2,5,2017,66687,2.0,0,102000
26,30,4,0,2,2,2017,25800,2.0,0,106000
26,30,4,0,2,7,2018,57000,2.0,0,110000
26,30,4,0,1,1,2018,20000,2.0,0,105999
26,30,4,0,1,5,2017,45000,2.0,0,107000
26,30,4,0,2,5,2018,29470,2.0,0,104000
26,30,4,0,1,0,2017,9,2.0,0,104990
26,30,4,0,2,5,2018,45000,2.0,0,110000
26,30,4,0,1,5,2018,29500,2.0,0,107000
26,30,4,0,1,0,2018,20379,2.0,0,107500
26,30,4,0,3,5,2017,60741,2.0,0,105000
26,30,4,0,1,7,2018,18800,2.0,0,114000
26,30,4,0,1,0,2017,44900,2.0,0,105000
26,30,4,0,1,7,2018,40000,2.0,0,105999
26,30,4,0,2,0,2017,50000,1.6,0,105000
26,30,4,0,1,0,2017,58800,2.0,0,101900
26,30,4,0,1,2,2018,33573,2.0,0,105000
28,13,4,2,2,9,2017,42000,1.6,0,47000
28,13,4,2,1,0,2016,61668,1.6,0,44000
30,27,4,2,2,0,2015,1,1.0,0,26000
30,27,4,2,1,2,2016,50000,1.0,0,25900
30,27,2,2,2,9,2015,55000,1.0,0,27500
33,45,4,2,2,0,2015,7524,1.6,0,28900
34,41,4,2,2,2,2016,47000000,1.4,0,40000
34,41,4,2,2,2,2016,47000000,1.4,0,38000
34,41,5,0,2,5,2019,39000,2.0,0,131000
35,19,4,0,2,7,2017,65000,2.0,0,50000
35,19,4,0,2,7,2017,65000,2.0,0,80000
36,41,4,2,2,9,2016,62000,1.6,0,40000
36,41,4,2,2,9,2015,132000,1.6,0,31000
38,27,4,0,1,0,2019,8000,1.4,0,87000
38,27,4,0,2,9,2018,28000,1.4,0,85000
38,27,4,0,1,9,2018,29000,1.4,0,88000
38,27,4,0,2,0,2018,25000,1.4,0,87990
38,27,4,0,1,9,2018,34293,1.4,0,85000
38,27,4,0,1,7,2018,11000,1.4,0,90000
38,27,4,0,2,0,2018,40000,1.4,0,87500
38,27,4,0,1,7,2018,11000,1.4,0,87000
38,27,4,0,1,0,2018,34753,1.4,0,87000
39,45,4,0,1,0,2017,40000,1.0,0,45000
40,49,4,0,2,0,2019,96635,1.6,0,53900
40,49,4,0,2,5,2017,57000,1.6,0,51900
40,49,4,0,2,9,2019,43968,1.6,0,68990
40,49,4,0,2,5,2019,19000,1.6,0,62500
40,49,4,0,2,0,2019,8,1.6,0,68000
41,40,4,2,2,0,2016,55000,1.6,0,50000
41,40,4,2,2,9,2016,107125,1.6,0,47000
41,40,4,2,2,0,2016,90000,1.6,0,43000
41,40,4,2,2,0,2016,107000,1.6,0,42000
42,9,4,0,2,7,2015,79000,2.0,0,43500
42,9,4,0,1,7,2015,79000,2.0,0,52900
42,9,4,0,2,7,2015,96000,2.0,0,48000
42,9,4,0,2,0,2015,70000,2.0,0,54990
48,41,4,2,2,2,2015,91000,1.0,0,28800
48,41,4,2,2,0,2015,130000,1.0,0,27500
53,45,4,2,1,0,2019,55300,1.0,0,56500
53,45,4,2,1,0,2019,48000,1.0,0,56500
53,45,4,2,2,0,2019,48000,1.0,0,59900
53,45,4,2,1,5,2018,47900,1.0,0,53990
53,45,4,2,1,0,2018,48000,1.0,0,58500
54,39,4,0,1,0,2016,44125,1.6,0,50000
54,39,4,0,1,0,2015,75000,1.6,0,43800
54,39,4,0,1,9,2019,25000,1.6,0,56900
54,39,4,0,1,9,2015,92010,1.6,0,42900
54,39,4,0,1,0,2017,29300,1.6,0,49500
54,39,4,0,1,8,2019,23000,1.6,0,63990
54,39,4,0,2,0,2016,78000,1.6,0,47000
55,29,4,0,2,6,2018,28000,1.4,0,129000
55,29,4,0,1,5,2017,70000,1.4,0,125000
55,29,6,0,2,7,2016,73000,1.4,0,110000
56,40,4,2,2,9,2017,24809,1.6,0,48900
57,13,4,2,1,0,2016,110,1.6,0,41000
60,45,4,2,1,0,2018,54000,1.6,0,69500
60,45,4,2,2,0,2016,90000,1.6,0,63000
60,45,4,2,2,0,2016,120000,1.6,0,64000
60,45,4,2,2,9,2018,70000,1.6,0,74500
60,45,4,2,2,0,2016,40000,1.6,0,55000
60,45,4,2,2,5,2017,130000,1.6,0,65000
60,45,4,2,2,0,2017,65700,1.6,0,71499
60,45,4,2,2,0,2015,69822,1.6,0,51000
60,45,4,2,2,5,2017,73000,1.6,0,78000
60,45,4,2,2,5,2017,78000,1.6,0,78000
61,45,4,2,2,2,2015,85000,1.6,0,50000
61,45,4,2,2,0,2015,57000,1.6,0,55000
61,45,4,2,2,0,2015,87000,1.6,0,52900
61,45,4,2,2,0,2015,81000,1.6,0,56000
61,45,4,2,2,9,2015,86963,1.6,0,58000
61,45,4,2,2,0,2015,56000,1.6,0,55000
61,45,4,2,2,0,2016,89000,1.6,0,50000
61,45,4,2,2,0,2016,92000,1.6,0,50000
61,45,4,2,2,5,2018,35000,1.6,0,65500
63,21,4,0,1,9,2019,21600,2.0,0,123990
63,21,4,0,1,7,2019,29000,2.0,0,123500
63,21,4,0,1,7,2018,31795,2.0,0,98990
63,21,4,0,1,0,2018,33510,2.0,0,97990
63,21,4,0,1,5,2019,38500,2.0,0,109990
63,21,4,0,1,0,2018,34000,2.0,0,97900
64,40,4,2,2,0,2019,62000,1.0,0,38500
64,40,4,2,2,0,2018,61000,1.0,0,40900
64,40,4,2,2,0,2018,55000,1.0,0,38900
64,40,4,2,2,9,2016,70000,1.0,0,34000
64,40,4,2,2,9,2016,72000,1.0,0,35500
64,40,4,2,2,0,2019,62000,1.0,0,38500
64,40,4,2,2,0,2019,88000,1.0,0,41000
65,34,4,0,2,0,2015,87000,2.0,0,52000
68,41,4,2,2,0,2015,100000,1.4,0,42900
70,45,4,2,1,0,2016,51000,1.0,0,39500
73,45,4,2,2,6,2018,62000,1.0,0,46000
73,45,4,2,1,6,2018,26000,1.0,0,59500
77,26,6,2,2,0,2015,66000,1.0,0,19000
77,26,6,2,2,7,2015,12096,1.2,0,16000
80,27,4,0,1,7,2015,10000,1.4,0,44000
80,27,4,0,1,8,2018,75000,1.4,0,40000
80,27,4,0,2,0,2018,60376,1.0,0,37500
80,27,4,0,1,7,2018,45000,1.4,0,59900
80,27,4,0,2,7,2018,46000,1.4,0,59900
80,27,4,2,2,9,2015,119896,1.4,0,46500
80,27,4,2,2,7,2015,45000,1.4,0,35000
80,27,4,0,1,0,2018,26000,1.4,0,59000
80,27,4,0,2,0,2019,10000,1.4,0,63000
80,27,4,0,2,0,2018,26000,1.4,0,58000
80,27,4,0,2,0,2016,64840,1.4,0,49900
80,27,4,0,2,0,2016,64840,1.4,0,47900
80,27,4,0,2,0,2016,64840,1.4,0,46900
80,27,4,0,2,9,2018,25000,1.4,0,55000
80,27,4,0,1,0,2018,20000,1.4,0,54500
84,19,4,0,1,9,2016,112000,2.0,0,72000
84,19,4,0,1,0,2018,79000,2.0,0,94500
84,19,4,0,2,9,2016,130000,2.0,0,74000
84,19,4,0,1,5,2016,56700,2.0,0,80000
84,19,4,0,1,9,2017,52,2.0,0,82000
84,19,4,0,1,0,2015,63500,2.0,0,72000
84,19,4,0,2,9,2019,24000,2.0,0,99000
84,19,4,0,2,0,2019,17000,2.0,0,99500
84,19,4,0,1,0,2018,90000,2.0,0,87000
84,19,4,0,1,9,2017,57200,2.0,0,88000
84,19,4,0,1,7,2015,87447,2.0,0,68000
84,19,4,0,2,9,2015,150000,2.0,0,65300
84,19,4,0,2,0,2019,25000,2.0,0,99000
84,19,4,0,2,9,2016,84000,2.0,0,76000
84,19,4,0,1,0,2018,50000,2.0,0,92000
84,19,4,0,1,0,2017,73000,2.0,0,79500
84,19,4,0,1,0,2015,60000,2.0,0,76000
84,19,4,0,1,0,2018,70000,2.0,0,93000
84,19,4,0,2,0,2015,68500,2.0,0,73000
84,19,4,0,2,7,2015,71000,2.0,0,74000
84,19,4,0,1,9,2017,65000,2.0,0,80500
84,19,4,0,2,0,2016,68,2.0,0,78800
84,19,4,0,1,5,2018,33666,2.0,0,94900
84,19,4,0,1,0,2017,122748,2.0,0,78000
84,19,4,0,1,9,2015,92000,2.0,0,75999
84,19,4,0,2,0,2016,100506,2.0,0,50000
84,19,4,0,1,0,2018,32000,2.0,0,93500
84,19,4,0,1,9,2015,94500,2.0,0,70000
84,19,4,0,1,0,2017,100,2.0,0,78000
84,19,4,0,2,0,2015,106000,2.0,0,74500
84,19,4,0,2,0,2018,48000,2.0,0,94200
84,19,4,0,2,0,2017,71230,2.0,0,81999
84,19,4,2,2,0,2017,100,2.0,0,75000
84,19,4,0,1,0,2016,72000,2.0,0,77900
84,19,4,0,1,9,2015,79,2.0,0,74900
84,19,4,0,2,0,2018,40000,2.0,0,87500
84,19,4,0,2,0,2019,26000,2.0,0,100000
84,19,4,0,1,9,2016,28000,2.0,0,80000
84,19,4,0,2,9,2017,92000,2.0,0,82000
84,19,4,0,1,0,2018,68000,2.0,0,93000
84,19,4,0,1,0,2018,25000,2.0,0,94000
84,19,4,0,2,0,2019,20000,2.0,0,106000
84,19,4,0,1,9,2015,86000,2.0,0,73000
84,19,4,0,1,6,2016,75000,2.0,0,75000
84,19,4,0,1,0,2015,66000,2.0,0,76900
84,19,4,0,1,0,2019,44000,2.0,0,105000
84,19,4,0,1,5,2019,67000,2.0,0,97000
84,19,4,0,1,9,2018,50000,2.0,0,93000
84,19,4,0,2,9,2016,57100,2.0,0,77000
84,19,4,0,1,0,2016,65000,2.0,0,78500
84,19,4,0,1,9,2016,83000,2.0,0,76000
84,19,4,0,2,0,2018,45000,2.0,0,94990
84,19,4,0,1,2,2016,53000,2.0,0,80000
84,19,4,0,2,7,2018,51000,2.0,0,91900
84,19,4,0,1,0,2016,91000,2.0,0,72500
84,19,4,0,2,9,2015,86000,2.0,0,78500
84,19,4,0,1,0,2018,79000,2.0,0,93990
84,19,4,0,2,0,2018,53000,2.0,0,95500
84,19,4,0,3,0,2018,34158,2.0,0,105000
84,19,4,0,2,0,2016,59310,2.0,0,76000
84,19,4,0,2,0,2016,80000,2.0,0,81990
84,19,4,0,1,0,2018,74,2.0,0,92900
84,19,4,0,2,0,2018,56850,2.0,0,93499
84,19,4,0,1,0,2019,31000,2.0,0,105000
84,19,4,0,2,9,2018,56900,2.0,0,93490
84,19,4,0,1,0,2016,92000,2.0,0,78999
84,19,4,0,2,7,2018,52000,2.0,0,89000
84,19,4,0,2,7,2015,120000,2.0,0,75000
84,19,4,0,2,7,2017,125,2.0,0,79900
84,19,4,0,1,0,2016,66000,2.0,0,77990
84,19,4,0,2,2,2018,43256,2.0,0,94000
84,19,4,0,1,0,2019,38000,2.0,0,103500
84,19,4,0,1,0,2019,60503,2.0,0,104990
84,19,4,0,1,5,2019,67000,2.0,0,100000
84,19,4,0,1,9,2015,92000,2.0,0,75000
84,19,4,0,2,9,2015,51000,2.0,0,75000
84,19,4,0,2,0,2019,20000,2.0,0,105000
84,19,4,0,1,0,2017,30000,2.0,0,80000
84,19,4,0,2,9,2016,71500,2.0,0,77500
84,19,4,0,1,2,2018,43188,2.0,0,94000
84,19,4,0,2,9,2015,104,2.0,0,70000
84,19,3,0,1,9,2016,60000,2.0,0,80000
84,19,4,0,1,0,2017,60000,2.0,0,80500
84,19,4,0,1,0,2016,90000,2.0,0,78000
84,19,4,0,1,0,2018,22500,2.0,0,96000
84,19,4,0,1,6,2016,75000,2.0,0,74000
84,19,4,0,2,0,2015,80000,2.0,0,77000
84,19,4,0,2,0,2016,40000,2.0,0,82000
84,19,4,0,2,9,2019,23000,2.0,0,106500
84,19,4,0,1,9,2015,93000,2.0,0,70000
84,19,4,0,1,0,2016,90000,2.0,0,77500
84,19,4,0,1,9,2017,57000,2.0,0,81000
84,19,4,0,2,0,2019,41000,2.0,0,103000
84,19,4,0,1,0,2018,65000,2.0,0,94900
84,19,4,0,1,9,2015,71500,2.0,0,73500
84,19,4,0,2,0,2019,20000,2.0,0,105000
84,19,4,0,2,9,2016,90000,2.0,0,76500
84,19,4,0,1,5,2015,95000,2.0,0,72000
84,19,4,0,2,9,2016,86000,2.0,0,81000
84,19,4,0,1,9,2015,92000,2.0,0,74000
