modelo,marca,combustivel,cambio,direcao,cor,ano,quilometragem,potenciamotor,blindado,valor
535,75,5,0,2,7,2016,93000,3,0,279900
1884,42,4,0,2,0,2016,78000,1.6,0,57900
428,60,3,2,0,9,1989,1,2,0,3000
2104,36,4,2,2,9,2021,35000,1,0,49499
4146,60,4,0,1,0,2014,39000,1.6,0,39000
2262,65,6,0,1,7,2016,47503,2,0,89900
3265,60,4,2,1,8,2014,77000,1.8,0,48900
4342,71,4,2,2,9,2010,130000,1.8,0,35800
3095,73,4,0,2,2,2016,70000,1,0,44890
650,73,4,0,2,0,2018,39000,1.4,1,140000
2926,36,4,2,2,7,2016,126000,1,0,34000
2626,8,6,2,0,6,1988,11111111,1.6,0,3000
3194,68,4,0,1,2,2018,60000,1.8,0,91900
4593,36,4,2,2,0,2017,153000,1.6,0,37900
4141,60,4,0,1,7,2013,76000,1.8,0,51900
4104,60,4,2,0,7,2008,105,1,0,15700
3199,36,4,2,2,9,2016,101500,1,0,31000
5,65,5,0,2,9,2009,203000,3,0,82900
1899,8,4,2,2,2,2010,98000,1.6,0,36900
204,42,6,2,1,9,2011,83000,2,0,36990
1240,71,6,0,2,0,2011,84500,2,0,45000
52,73,4,2,1,5,2021,5940,1,0,72600
1727,71,4,2,2,7,2008,122000,1,0,18900
4136,36,4,2,2,9,2015,180000,2,0,41000
2153,42,4,2,2,0,2017,83105,1,0,44990
4342,71,4,2,2,0,2013,147000,1.8,0,39000
5,65,5,0,2,9,2011,129512,3,0,91990
3404,73,4,2,2,0,2019,27911,1.6,0,59900
2578,42,4,0,1,9,2015,125000,1.6,0,49900
3194,68,4,0,1,8,2016,58000,1.8,0,79900
4168,8,6,0,1,7,2015,87000,2,0,78900
2578,42,4,0,2,7,2017,44000,1.6,0,60890
2710,73,4,2,2,9,2012,89000,1,0,23500
1075,74,6,0,1,7,2012,88000,2,0,64900
4049,8,4,2,2,9,2017,66000,1,0,27990
4331,73,4,0,2,7,2013,131000,2,1,49900
3258,73,4,2,2,7,2009,85000,1,0,23990
4023,27,4,0,2,0,2020,25850,1.5,0,77900
1334,73,4,0,2,7,2012,82000,2,0,46000
434,73,4,2,2,5,2009,75378,1.6,0,31900
3689,60,4,2,2,0,2012,126302,1.4,0,27899
2408,60,4,2,2,2,2013,93000,1,0,27900
1575,68,4,0,2,0,2014,38560,2,0,67900
