id,description
0,VW - VOLKSWAGEN GOL TSI 1.8/ 1.8MI
1,NISSAN FRONTIER
5,MITSUBISHI L200 TRITON HPE 3.2 CD TB INT.DIESEL AUT
2,AUDI A5 SPORTBACK 2.0 16V TFSI 211CV MULTI.
3,AUDI TT
4,BUGGY BUGGY 1.6 2-LUG.
6,PEUGEOT 206 SW ESCAPADE 1.6 16V FLEX 5P
7,FORD 
8,VW - VOLKSWAGEN GOL 1.0 PLUS 8V 2P
9,FIAT IDEA ATTRACTIVE 1.4 FIRE FLEX 8V 5P
10,FIAT DUCATO CARGO CURTO 2.3 ME DIESEL
11,FIAT 147 C/ CL
12,MERCEDES-BENZ C-200 CGI SPORT 1.8 TB 16V 184CV AUT.
13,FORD ECOSPORT XLS 2.0/2.0 FLEX 16V 5P AUT.
14,MERCEDES-BENZ GLA-250 ENDURO 2.0 TB 16V 211CV AUT.
15,FORD PAMPA L 1.8I / 1.8
16,HONDA ACCORD SW LX
17,HYUNDAI HB20S COMFORT STYLE 1.0 TB FLEX 12V MEC.
18,GM - CHEVROLET VECTRA ELITE 2.4 MPFI 16V FLEXPOWER AUT.
19,VW - VOLKSWAGEN POLO 1.6 MSI TOTAL FLEX 16V 5P AUT
20,HYUNDAI TUCSON 2.0 16V MEC.
21,GM - CHEVROLET SUBURBAN 5.7/6.5 V8/5.3 V8
22,HYUNDAI TUCSON 2.0 16V AUT.
23,NISSAN VERSA SV 1.6 16V FLEX FUEL 4P MEC.
24,FIAT STRADA SPORTING 1.8 FLEX 16V CE
25,TOYOTA 1.8 16V GASOLINA 4P AUTOMATICO
26,FORD ESCORT GUARUJÁ 1.8 4P
27,KIA MOTORS SEPHIA GTX 1.6
28,MERCEDES-BENZ E-250 CGI COUPE 1.8 16V 204CV AUT.
29,VW - VOLKSWAGEN SAVEIRO TROOPER 1.6 MI TOTAL FLEX 8V CE
30,HYUNDAI I30CW
31,TOYOTA BAND.PICAPE CHASSI CURTO DIESEL
32,AUDI A3 1.8 TURBO 5P MEC.
33,FIAT PALIO WEEKEND 1.6 MPI 16V 4P
34,FORD RANGER XLT 4.0 4X4 CD
35,LAND ROVER DISCOVERY3 SE 4.0 V6 4X4 215CV AUT.
36,SUZUKI SIDEKICK METAL
37,HYUNDAI HB20S STYLE 1.6 FLEX 16V AUT.
38,FORD ECOSPORT FREESTYLE 2.0 16V FLEX 5P AUT.
39,CITROEN C4 GLX 2.0 FLEX 16V 5P MEC.
40,FIAT PALIO WEEKEND ELX 1.3 MPI  FIRE 16V
41,MERCEDES-BENZ SPRINTER 311 STREET STD. 2.2 16LUG. DIES
42,FIAT PREMIO CSL 1.6/ 1.5
43,PEUGEOT BOXER 2.3 MINIBUS 15/16L TB DIESEL.
44,BMW 323TI COMPACT SPORT
45,TOYOTA HILUX CD LIMITED 4X4 3.0 TDI DIESEL AUT.
46,JAGUAR S-TYPE 3.0/ 3.0 SE V6
47,SUZUKI SWIFT SEDAN 1.6 16V
48,FIAT SIENA ELX 1.8 MPI 8V 103CV 4P
49,FIAT IDEA SPORTING DUALOGIC 1.8 FLEX 16V 5P
50,CITROEN C5 EXCLUSIVE BREAK 2.0 16V AUT.
51,RENAULT MEGANE G. TOUR EXTREME 2.0 16V AUT.
52,VW - VOLKSWAGEN POLO 1.0 FLEX 12V 5P
53,AUDI Q3 PRESTIGE PLUS 1.4 TFSI FLEX S-TRONIC
54,SUZUKI VITARA
55,VOLVO XC
56,RENAULT SANDERO STEPWAY FLEX 1.6 16V 5P
57,LAND ROVER FREELANDER2 I6 LE SPORT 3.2 232CV AUT. 5
58,BMW X6 M 4.4 4X4 V8 32V BI-TURBO AUT.
59,KIA MOTORS SPORTAGE GTE 2.2 4X4 DIESEL
60,VW - VOLKSWAGEN SAVEIRO CROSS 1.6 MI TOTAL FLEX 8V CE
61,HYUNDAI HB20 SPICY 1.6 FLEX 16V MEC.
62,VW - VOLKSWAGEN SAVEIRO TRENDLINE 1.6 T.FLEX 8V CD
63,PEUGEOT 106 QUIKSILVER 1.0 3P
64,NISSAN FRONTIER SE/SE STRIK/ONE CD 4X4 2.8 DIES
65,FIAT DOBLO ELX 1.4 MPI FIRE FLEX 8V 4P
66,GM - CHEVROLET BONANZA S / LUXE 4.1
67,CITROEN XANTIA 2.0  16V
68,PEUGEOT 206 SW AUTOMATIC (FELINE)1.6 FLEX 16V 5P
69,PEUGEOT 206 SW MOONLIGHT 1.4 FLEX 8V 5P
70,VW - VOLKSWAGEN UP! HIGH 1.0 TSI TOTAL FLEX 12V 5P
71,GM - CHEVROLET S10 PICK-UP LT 2.8 TDI 4X2 CD DIESEL AUT
72,GM - CHEVROLET CAPRICE 4.3 V8
73,FORD ROYALE GHIA 2.0/2.0I 2P E 4P
