modelo,marca,ano,quilometragem,potenciamotor,combustivel,cambio,direcao,cor,portas,finalplaca,vidroeletrico,travaeletrica,arcondicionado,direcaohidraulica,som,airbag,alarme,sensorre,camerare,blindado,valor
PEUGEOT 207 SED. PASSION XR SPORT 1.4 FLEX 8V 4P,PEUGEOT,2012,100000,1.4,Flex,Manual,Hidráulica,Prata,4,4,1,1,1,1,1,0,1,1,0,0,20900.0
PEUGEOT 208 ACTIVE/ACTIVE PACK 1.5 FLEX 8V 5P,PEUGEOT,2014,76400,1.5,Flex,Manual,Assistida,Branco,4,4,1,1,1,0,1,0,1,0,0,0,32500.0
PEUGEOT 207 XS 1.6 FLEX 16V 5P AUT.,PEUGEOT,2010,94000,1.6,Flex,Automático,Hidráulica,Prata,4,6,1,1,1,1,1,0,1,0,0,0,15000.0
PEUGEOT 2008 ALLURE 1.6 FLEX 16V 5P AUT.,PEUGEOT,2019,57000,1.6,Flex,Automático,Elétrica,Branco,4,6,1,1,1,1,1,1,1,1,1,0,53000.0
PEUGEOT 207 SW ESCAPADE 1.6 16V FLEX 5P,PEUGEOT,2013,0,1.0,Flex,Manual,Hidráulica,Cinza,4,4,1,1,1,1,0,0,1,0,0,0,0.0
PEUGEOT 206 PRESENCE 1.4/ 1.4 FLEX 8V 5P,PEUGEOT,2007,1,1.4,Flex,Manual,Hidráulica,Prata,4,6,1,0,1,1,0,0,0,0,0,0,14900.0
PEUGEOT 207 XR SPORT 1.4 FLEX 8V 5P,PEUGEOT,2011,72000,1.4,Flex,Manual,Hidráulica,Prata,4,2,1,1,0,1,1,0,1,0,0,0,16000.0
PEUGEOT 208 ACTIVE/ACTIVE PACK 1.5 FLEX 8V 5P,PEUGEOT,2015,67000,1.5,Flex,Manual,Elétrica,Branco,4,0,1,1,1,1,1,1,1,0,0,0,33000.0
PEUGEOT 2008 ALLURE 1.6 FLEX 16V 5P AUT.,PEUGEOT,2018,56000,1.6,Flex,Automático,Elétrica,Prata,4,9,1,1,1,0,1,1,1,1,0,0,53900.0
PEUGEOT 207 XR 1.4 FLEX 8V 5P,PEUGEOT,2014,45000,1.4,Flex,Manual,Hidráulica,Branco,4,9,1,1,1,1,1,0,1,0,0,0,25900.0
PEUGEOT 207 XR 1.4 FLEX 8V 5P,PEUGEOT,2010,126,1.4,Flex,Manual,Hidráulica,Cinza,4,0,1,1,1,1,0,1,1,1,0,0,6500.0
PEUGEOT 307 SED. PRESENCE 1.6 FLEX 16V 4P,PEUGEOT,2011,122000,1.6,Flex,Manual,Hidráulica,Prata,4,9,0,0,1,0,1,1,0,1,0,0,21500.0
PEUGEOT 307 MILLESIM200 1.6 FLEX 16V 5P,PEUGEOT,2010,121000,1.6,Flex,Manual,Hidráulica,Prata,4,9,1,1,1,1,1,1,1,1,0,0,21000.0
PEUGEOT 207 SEDAN PASSION XR 1.4 FLEX 8V 4P,PEUGEOT,2009,10000000,1.4,Flex,Manual,Hidráulica,Verde,4,3,1,1,1,1,1,0,0,0,0,0,16000.0
PEUGEOT 307 SOLEIL/ PRESENCE 1.6/1.6 FLEX 16V 5P,PEUGEOT,2009,100000,1.6,Flex,Manual,Elétrica,Preto,4,7,1,1,1,1,0,1,1,0,0,0,14000.0
PEUGEOT 207 XR 1.4 FLEX 8V 5P,PEUGEOT,2011,133300,1.4,Flex,Manual,Hidráulica,Cinza,4,5,1,1,1,1,0,1,1,0,0,0,18900.0
PEUGEOT 207 ACTIVE 1.4 FLEX 8V 5P,PEUGEOT,2013,100000,1.4,Flex,Manual,Hidráulica,Branco,4,2,1,1,1,1,0,0,0,0,0,0,22000.0
PEUGEOT 208 ACTIVE 1.2 FLEX 12V 5P MEC.,PEUGEOT,2017,57000,1.2,Flex,Manual,Assistida,Branco,4,9,1,1,1,0,1,1,1,1,0,0,36900.0
PEUGEOT 207 XR 1.4 FLEX 8V 5P,PEUGEOT,2013,100000,1.4,Flex,Manual,Hidráulica,Prata,4,2,1,1,1,1,1,1,1,1,0,0,23990.0
PEUGEOT 206 SOLEIL 1.0 16V 5P,PEUGEOT,2003,44000000,1.0,Gasolina,Manual,Hidráulica,Preto,4,5,0,1,1,1,1,1,0,0,0,0,6000.0
PEUGEOT 206 HOLIDAY 1.4 8V 75CV 3P,PEUGEOT,2000,14700,1.4,Gasolina,Manual,Hidráulica,Prata,2,2,1,1,1,1,0,1,0,0,0,0,7500.0
PEUGEOT 2008 ALLURE 1.6 FLEX 16V 5P MEC.,PEUGEOT,2017,95000,1.6,Flex,Manual,Elétrica,Prata,4,6,1,1,1,0,1,1,1,1,0,0,43000.0
