modelo,marca,combustivel,cambio,direcao,cor,ano,quilometragem,potenciamotor,blindado,valor
305,37,4,0,1,9,2017,70000,2,0,88900
2036,41,5,0,2,2,2019,38000,2,0,117000
1425,45,4,2,2,0,2019,61000,1.6,0,42990
2371,9,4,2,1,7,2018,27000,1.5,0,44000
1603,45,4,0,2,7,2019,65000,1.6,0,62500
1464,30,5,0,2,0,2018,34499,2,0,125000
1209,27,4,0,1,0,2019,11000,1.4,0,61000
1878,27,4,2,2,5,2018,55000,1,0,44500
1740,9,5,0,1,5,2018,50000,3,0,150000
1577,9,5,0,1,6,2020,3600,3,0,175000
769,19,4,0,2,0,2019,52,1.5,0,68500
712,45,4,2,2,9,2020,0,1.6,0,79990
1810,19,4,0,2,9,2019,17000,1.5,0,61000
1740,9,5,0,1,0,2017,102000,3,0,136900
830,30,5,0,1,0,2019,28000,2,0,153000
2184,19,4,0,1,9,2018,70000,1.5,0,54990
1498,45,4,2,2,9,2017,85,1.6,0,44500
1224,40,4,2,1,9,2019,32857,1.6,0,42990
1872,34,5,0,1,5,2021,0,2,0,202999
2512,45,4,2,1,8,2018,43696,1.6,0,62000
883,9,5,2,1,0,2017,59000,2,0,117000
63,21,4,0,1,9,2019,21600,2,0,123990
1920,45,4,0,1,2,2018,53000,1,0,62900
848,19,5,0,2,0,2017,88727,2,0,174800
824,27,4,0,2,2,2017,38000,1.4,0,72000
995,41,5,0,1,0,2019,50000,2,0,127000
995,41,5,0,1,0,2019,41005,2,0,122500
617,15,6,0,2,6,2017,80000,1.6,0,68000
1920,45,4,0,1,7,2020,4000,1,0,80500
1425,45,4,2,2,7,2017,0,1.6,0,39000
1740,9,5,0,2,5,2020,9000,3,0,186000
556,27,4,0,1,0,2018,0,1.4,0,74000
1695,9,5,0,1,7,2018,37000,3,0,195000
2314,27,4,2,2,7,2017,40000,1.4,0,53000
1842,27,4,2,1,0,2017,42000,1.4,0,49000
2144,41,4,1,2,0,2017,80000,1.6,0,44500
1903,19,5,0,2,0,2019,60232,3,0,278000
1568,37,4,0,1,0,2017,99000,1.5,0,57000
219,37,4,0,1,0,2019,15000,2,0,102000
2561,45,6,2,2,5,2018,56000,1.6,0,38500
2368,49,4,2,2,8,2018,50000,1.6,0,65000
1890,45,4,0,1,9,2019,50000,1,0,75800
2242,40,4,2,2,2,2018,48800,1.6,0,40000
1107,27,4,0,1,0,2019,13000,1.8,0,94900
967,27,5,0,1,9,2020,6000,2,0,194000
1631,40,4,0,1,7,2021,10000,1.6,0,91800
591,39,4,0,1,0,2019,57000,1.6,0,53000
224,9,4,2,1,9,2019,40000,1.5,0,47500
1586,9,5,0,2,7,2019,32000,3,0,179000
752,19,4,0,1,9,2017,58000,2,0,124000
887,45,4,2,2,0,2018,37000,1.6,0,48000
1610,29,4,0,1,7,2018,40000,1.4,0,103000
488,45,4,2,2,0,2019,12000,1.6,0,55000
2165,27,4,2,2,0,2018,73000,1,0,40000
1169,45,4,0,2,0,2019,44000,1.6,0,65000
798,9,4,0,1,0,2019,30000,1.5,0,56000
1114,27,4,2,1,0,2020,12000,1,0,62000
1956,27,4,2,1,0,2018,43200,1.4,0,48000
84,19,4,0,1,0,2018,79000,2,0,94500
484,13,4,2,1,7,2019,39999,1,0,40999
1464,30,5,0,2,7,2018,21000,2,0,130000
556,27,4,0,1,5,2018,42000,1.4,0,74500
2125,49,4,0,1,9,2017,100000,2,1,73000
672,40,4,2,2,0,2017,77000,1.6,0,52900
672,40,4,2,2,0,2017,106000,1.6,0,51900
436,9,5,0,1,7,2018,12700,3,0,152000
1874,41,4,2,1,0,2019,30000,1.3,0,54500
687,49,4,0,2,9,2018,24500,2,0,75000
2240,41,4,0,2,2,2019,200000,4,0,89000
1770,19,5,2,2,0,2019,100000,2,0,140000
1920,45,4,0,2,6,2020,14000,1,0,73000
272,45,5,0,1,0,2017,0,2,0,134500
848,19,5,0,2,7,2020,8150,2,0,285000
989,9,4,0,1,0,2017,99000,1.6,0,55999
1740,9,5,0,2,9,2018,80000,3,0,149990
2333,45,4,2,2,0,2020,21000,1,0,45990
1852,27,4,2,1,0,2019,16528,1,0,44900
2489,49,4,0,2,5,2017,0,1.6,0,56000
2427,45,4,2,2,0,2018,27600,1,0,40500
107,30,4,0,1,7,2018,46000,2,0,89500
1013,9,4,2,1,0,2017,43000,1.6,0,41000
1915,49,4,2,2,7,2019,39000,1,0,46990
1842,27,4,2,1,7,2019,23000,1.4,0,56500
2240,41,4,0,2,2,2018,75000,1.8,0,82900
1733,9,4,2,1,0,2020,18000,1,0,45990
1852,27,4,2,1,0,2018,39000,1,0,40800
229,9,4,0,1,7,2019,24000,1.5,0,49500
1084,19,4,0,2,0,2017,76000,2,0,120000
745,49,4,0,2,0,2020,10800,2,0,108990
2394,45,4,2,1,0,2019,35000,1.6,0,62500
1810,19,4,0,2,0,2019,38000,1.5,0,64500
305,37,4,0,3,9,2017,78000,2,0,89900
1707,40,5,2,2,0,2019,37000,2,0,154000
694,13,4,0,1,7,2018,44236,1.6,0,72000
