@relation SE_COMPLETO-weka.filters.unsupervised.attribute.OrdinalToNumeric-Rfirst-last-weka.filters.unsupervised.attribute.Normalize-S1.0-T0.0_predicted

@attribute modelo numeric
@attribute marca numeric
@attribute combustivel numeric
@attribute cambio numeric
@attribute direcao numeric
@attribute cor numeric
@attribute ano numeric
@attribute quilometragem numeric
@attribute potenciamotor numeric
@attribute blindado numeric
@attribute predictedvalor numeric
@attribute valor numeric

@data
0.500893,0.428571,0.4,0,0.333333,0.222222,0.75,0.000833,0.333333,0,145711.849148,133999
0.811607,0.892857,0.4,0,0,0.111111,1,0.001004,0.666667,0,235951.411835,278000
0.116071,0.178571,0.2,0.5,0.333333,0.444444,0,0.001367,0,0,38045.14209,34000
0.935714,1,0.2,0.5,0,0.222222,1,0.000558,0.2,0,69942.291415,64000
0.797321,0.892857,0.4,0,0,0.111111,0.75,0.000933,0.333333,0,169933.689154,185000
0.032143,0.071429,0.2,0.5,0,0.111111,0.75,0.000003,0,0,45162.193017,22500
0.88125,1,0,0.5,0,0.444444,0,0.0014,0,0,53930.933657,25500
0.609821,0.714286,0.2,0.5,0,0.555556,0,0.00105,0,0,33813.338896,36500
0.266964,0.214286,0.2,0,0.333333,0.555556,1,0.000567,0.166667,0,84996.772067,60000
0.259821,0.214286,0.2,0.5,0.333333,0.222222,0,0.0016,0,0,38221.386047,35990
0.500893,0.428571,0.4,0,0,0.111111,0.75,0.00089,0.333333,0,145287.677958,127500
0.154464,0.178571,0.2,0,0.333333,0.555556,0.5,0.001233,0.266667,0,77446.543258,80000
0.41875,0.285714,0.2,0,0,0.111111,0.25,0.0003,0.266667,0,69118.158651,73000
0.277679,0.214286,0.2,0.5,0.333333,0.111111,0.75,0.001905,0.166667,0,61055.909843,38800
0.39375,0.285714,0.2,0,0.333333,0.111111,0,0.001,0.166667,0,58536.662843,60000
0.125893,0.178571,0.2,0.5,0,0,0.25,0.00125,0,0,36889.826066,30000
0.29375,0.214286,0.2,0.5,0,0.111111,0,0.001583,0.333333,0,53694.60532,80000
0.9875,1,0.2,0.5,0,0.444444,1,0.001583,0.2,0,73670.682549,49000
0.533036,0.464286,0.2,0,0.333333,0.222222,1,0.000567,0.333333,0,112152.595602,130000
0.772321,0.892857,0.2,0,0.333333,0.111111,1,0.000733,0.333333,0,120104.107949,105000
0.158929,0.178571,0.2,0.5,0,0.222222,1,0.000217,0.133333,0,59720.958759,74500
