modelo,marca,combustivel,cambio,direcao,cor,ano,quilometragem,potenciamotor,blindado,valor
AUDI A1 SPORT. S EDITION 1.4 TFSI 5P S-TRONIC,AUDI,Gasolina,Automático,Hidráulica,Vermelho,2016,25500,1.4,0,85000
AUDI A3,AUDI,Gasolina,Automático,Hidráulica,Branco,2015,80,1.4,0,72900
AUDI A3,AUDI,Gasolina,Automático,Hidráulica,Branco,2015,80,1.4,0,72900
AUDI A3,AUDI,Gasolina,Automático,Hidráulica,Branco,2015,80,1.4,0,72900
AUDI A3,AUDI,Gasolina,Automático,Hidráulica,Branco,2015,80,1.4,0,72900
AUDI A3,AUDI,Gasolina,Automático,Hidráulica,Branco,2015,80,1.4,0,72900
AUDI A3,AUDI,Gasolina,Automático,Hidráulica,Branco,2015,80,1.4,0,72900
AUDI A3 CABRIOLET 1.8 16V TFSI 180CV S-TRONIC,AUDI,Gasolina,Automático,Hidráulica,Branco,2016,31000,1.8,0,152500
AUDI A3 SED. AMBITION 2.0 TSFI 220CV S-TRONIC,AUDI,Flex,Automático,Elétrica,Branco,2016,44200,2.0,0,95000
AUDI A3 SED.1.8/1.8 AMBIT.16V TB FSI S-TRONIC,AUDI,Flex,Automático,Elétrica,Branco,2016,45000,1.8,0,94900
AUDI A3 SED.1.8/1.8 AMBIT.16V TB FSI S-TRONIC,AUDI,Gasolina,Automático,Hidráulica,Branco,2015,79000,1.8,0,83800
AUDI A3 SED.1.8/1.8 AMBIT.16V TB FSI S-TRONIC,AUDI,Flex,Automático,Elétrica,Branco,2016,46000,1.8,0,96000
AUDI A3 SEDAN 1.4 TFSI FLEX TIPTRONIC 4P,AUDI,Flex,Automático,Elétrica,Prata,2017,87000,1.4,0,91000
AUDI A3 SEDAN 1.4 TFSI FLEX TIPTRONIC 4P,AUDI,Flex,Automático,Elétrica,Prata,2017,93000,1.4,0,84500
AUDI A3 SEDAN 1.4 TFSI FLEX TIPTRONIC 4P,AUDI,Flex,Automático,Elétrica,Azul,2018,51000,1.4,0,102900
AUDI A3 SEDAN 1.4 TFSI FLEX TIPTRONIC 4P,AUDI,Flex,Automático,Elétrica,Branco,2016,99000,1.4,0,76500
AUDI A3 SEDAN 1.4 TFSI FLEX TIPTRONIC 4P,AUDI,Flex,Automático,Elétrica,Branco,2016,67254,1.4,0,83000
AUDI A3 SEDAN 1.4/ ATTRA. 16V TB FSI S-TRONIC,AUDI,Flex,Automático,Elétrica,Branco,2015,57000,1.4,0,89990
AUDI A3 SEDAN 1.4/ ATTRA. 16V TB FSI S-TRONIC,AUDI,Flex,Automático,Elétrica,Preto,2016,53000,1.4,0,69900
AUDI A3 SEDAN 1.4/ ATTRA. 16V TB FSI S-TRONIC,AUDI,Gasolina,Automático,Elétrica,Branco,2015,71000,1.4,0,71900
AUDI A3 SEDAN 1.4/ ATTRA. 16V TB FSI S-TRONIC,AUDI,Flex,Automático,Elétrica,Prata,2017,80000,1.4,0,89900
AUDI A3 SEDAN PRESTIGE 1.4 TFSI S-TRONIC,AUDI,Flex,Automático,Elétrica,Branco,2019,17437,1.4,0,120000
AUDI A3 SPORTBACK 1.4 TFSI S-TRONIC,AUDI,Gasolina,Automático,Elétrica,Cinza,2016,39000,1.4,0,66000
AUDI A3 SPORTBACK 1.4 TFSI S-TRONIC,AUDI,Flex,Automático,Elétrica,Branco,2015,79000,1.4,0,66700
AUDI A4 2.0 16V TFSI 183/180CV MULTITRONIC,AUDI,Gasolina,Automático,Hidráulica,Preto,2016,690000,2.0,0,75000
AUDI A4 AMBIENTE 2.0 TFSI 190CV S TRONIC,AUDI,Gasolina,Automático,Hidráulica,Branco,2018,29000,2.0,0,142000
AUDI A4 AMBIENTE 2.0 TFSI 190CV S TRONIC,AUDI,Gasolina,Automático,Hidráulica,Cinza,2018,66541,2.0,0,139900
AUDI A4 ATTRACTION 2.0 TFSI 190CV S TRONIC,AUDI,Gasolina,Automático,Elétrica,Branco,2017,56300,1.9,0,110000
AUDI A4 PRESTIGE PLUS 2.0 TFSI 190CV S TRONIC,AUDI,Flex,Automático,Elétrica,Preto,2017,40000,2.0,0,132000
AUDI A5 AMBIT. SPORT. 2.0 TFSI S TRONIC,AUDI,Gasolina,Automático,Hidráulica,Preto,2015,60,2.0,0,86000
AUDI A5 AMBIT. SPORT. 2.0 TFSI S TRONIC,AUDI,Gasolina,Automático,Hidráulica,Preto,2015,60,2.0,0,86000
AUDI A5 ATTRACTION SPORTB. 2.0 TFSI S TRONIC,AUDI,Flex,Automático,Elétrica,Preto,2015,1,2.0,0,86000
