@relation SE_COROLLA-weka.filters.unsupervised.attribute.OrdinalToNumeric-Rfirst-last-weka.filters.unsupervised.attribute.Normalize-S1.0-T0.0_predicted

@attribute modelo numeric
@attribute marca numeric
@attribute combustivel numeric
@attribute cambio numeric
@attribute direcao numeric
@attribute cor numeric
@attribute ano numeric
@attribute quilometragem numeric
@attribute potenciamotor numeric
@attribute blindado numeric
@attribute predictedvalor numeric
@attribute valor numeric

@data
0,0,0,0,0.333333,0,1,0.333329,1,0,102071.445006,108000
0,0,0,0,0,0.166667,0.75,0.403996,1,0,92888.692559,94000
0,0,0,0,0,0,0.5,0.446663,1,0,84633.258072,81500
0,0,0,0,0,0,0.75,0.219995,1,0,93995.937185,93000
0,0,0,0,0,0.166667,0.25,0.599997,1,0,77001.497463,77500
0,0,0,0,0.333333,0,0,0.406663,1,0,72463.445491,78500
0,0,0,0,0.333333,0.166667,0.25,0.333329,1,0,78931.725919,75000
0,0,0,0,0.333333,0,1,0.199995,1,0,102969.422369,98000
0,0,0,0,0,0,0.75,0.219995,1,0,93995.937185,93000
0,0,0,0,0,0.166667,0.5,0.000527,1,0,87598.323173,83900
0,0,0,0,0.333333,0.666667,0.25,0.499997,1,0,78348.14803,79990
0,0,0,0,0,0.166667,0.25,0.479997,1,0,77620.195349,77900
0,0,0,0,0.333333,0.166667,0.25,0.546817,1,0,77790.156526,77500
0,0,0,0,0.333333,0,1,0.159994,1,0,103237.33601,99000
0,0,0,0,0.333333,0,0.25,0.866666,1,0,76069.502786,74000
0,0,0,0,0.333333,0,0.25,0.846666,1,0,76167.997643,75500
0,0,0,0,0,0.166667,0.75,0.526664,1,0,92055.164605,94500
0,0,0,0,0,0.166667,0.5,0.199995,1,0,86312.930595,80000
0,0,0,0,0.333333,0.166667,1,0.166661,1,0,103341.898743,99000
0,0,0,0,0.333333,0.166667,0.25,0.706665,1,0,76963.595046,79900
0,0,0,0,0.333333,0.166667,0,0.589997,1,0,71756.637805,74000
0,0,0,0,0,0.166667,0.75,0.350582,1,0,93253.159168,92800
0,0,0,1,0.333333,0.166667,0.5,0.00066,1,0,90946.830843,75000
0,0,0,0,0,0.166667,1,0.153328,1,0,102752.573576,108900
0,0,0,0,0.333333,0.166667,1,0.108367,1,0,103730.408284,105000
0,0,0,0,0,0.166667,0.75,0.57333,1,0,91739.490512,93500
0,0,0,0,0,0.166667,0.25,0.599997,1,0,77001.497463,78000
0,0,0,0,0,0.166667,1,0.000147,1,0,103776.217693,113000
0,0,0,0,0.333333,0.5,0,0.47333,1,0,72400.898992,74000
0,0,0,0,0,0.166667,1,0.246662,1,0,102123.819387,103500
0,0,0,0,0,0.166667,0.25,0.43333,1,0,77749.52418,78500
0,0,0,0,0,0.166667,1,0.583064,1,0,100064.196657,95900
0,0,0,0,0,0,0.25,0.799999,1,0,75822.810687,80000
0,0,0,0,0,0.333333,0.75,0.224435,1,0,94389.053205,94900
0,0,0,0,0,0.166667,0.75,0.739998,1,0,90827.130273,89000
0,0,0,0,0,0.166667,0.75,0.415376,1,0,92887.69155,99990
0,0,0,0,0,0.166667,0.25,0.479997,1,0,77521.196844,76900
0,0,0,0,0,0.333333,1,0.199995,1,0,102766.548266,105000
0,0,0,0,0.333333,0.166667,0,0.53333,1,0,71782.803199,77000
0,0,0,0,0,0.166667,0.25,0.439996,1,0,77716.791579,77990
0,0,0,0,0.333333,0,0.25,0.866666,1,0,75933.132814,77000
