modelo,marca,combustivel,cambio,direcao,cor,ano,quilometragem,potenciamotor,blindado,valor
TOYOTA COROLLA XEI 2.0 FLEX 16V AUT.,TOYOTA,Flex,Automático,Elétrica,Prata,2016,112000,2.0,0,72000
TOYOTA COROLLA XEI 2.0 FLEX 16V AUT.,TOYOTA,Flex,Automático,Elétrica,Branco,2018,79000,2.0,0,94500
TOYOTA COROLLA XEI 2.0 FLEX 16V AUT.,TOYOTA,Flex,Automático,Hidráulica,Prata,2016,130000,2.0,0,74000
TOYOTA COROLLA XEI 2.0 FLEX 16V AUT.,TOYOTA,Flex,Automático,Elétrica,Cinza,2016,56700,2.0,0,80000
TOYOTA COROLLA XEI 2.0 FLEX 16V AUT.,TOYOTA,Flex,Automático,Elétrica,Prata,2017,52,2.0,0,82000
TOYOTA COROLLA XEI 2.0 FLEX 16V AUT.,TOYOTA,Flex,Automático,Elétrica,Branco,2015,63500,2.0,0,72000
TOYOTA COROLLA XEI 2.0 FLEX 16V AUT.,TOYOTA,Flex,Automático,Hidráulica,Branco,2019,17000,2.0,0,99500
TOYOTA COROLLA XEI 2.0 FLEX 16V AUT.,TOYOTA,Flex,Automático,Hidráulica,Prata,2019,24000,2.0,0,99000
TOYOTA COROLLA XEI 2.0 FLEX 16V AUT.,TOYOTA,Flex,Automático,Hidráulica,Prata,2015,150000,2.0,0,65300
TOYOTA COROLLA XEI 2.0 FLEX 16V AUT.,TOYOTA,Flex,Automático,Hidráulica,Prata,2016,84000,2.0,0,76000
TOYOTA COROLLA XEI 2.0 FLEX 16V AUT.,TOYOTA,Flex,Automático,Elétrica,Prata,2017,57200,2.0,0,88000
TOYOTA COROLLA XEI 2.0 FLEX 16V AUT.,TOYOTA,Flex,Automático,Elétrica,Preto,2015,87447,2.0,0,68000
TOYOTA COROLLA XEI 2.0 FLEX 16V AUT.,TOYOTA,Flex,Automático,Hidráulica,Branco,2019,25000,2.0,0,99000
TOYOTA COROLLA XEI 2.0 FLEX 16V AUT.,TOYOTA,Flex,Automático,Elétrica,Branco,2018,90000,2.0,0,87000
TOYOTA COROLLA XEI 2.0 FLEX 16V AUT.,TOYOTA,Flex,Automático,Elétrica,Branco,2018,50000,2.0,0,92000
TOYOTA COROLLA XEI 2.0 FLEX 16V AUT.,TOYOTA,Flex,Automático,Elétrica,Branco,2017,73000,2.0,0,79500
TOYOTA COROLLA XEI 2.0 FLEX 16V AUT.,TOYOTA,Flex,Automático,Hidráulica,Branco,2018,40000,2.0,0,87500
TOYOTA COROLLA XEI 2.0 FLEX 16V AUT.,TOYOTA,Flex,Automático,Hidráulica,Branco,2019,26000,2.0,0,100000
TOYOTA COROLLA XEI 2.0 FLEX 16V AUT.,TOYOTA,Flex,Automático,Elétrica,Prata,2016,28000,2.0,0,80000
TOYOTA COROLLA XEI 2.0 FLEX 16V AUT.,TOYOTA,Flex,Automático,Elétrica,Branco,2018,25000,2.0,0,94000
TOYOTA COROLLA XEI 2.0 FLEX 16V AUT.,TOYOTA,Flex,Automático,Hidráulica,Prata,2017,92000,2.0,0,82000
TOYOTA COROLLA XEI 2.0 FLEX 16V AUT.,TOYOTA,Flex,Automático,Elétrica,Branco,2018,68000,2.0,0,93000
TOYOTA COROLLA XEI 2.0 FLEX 16V AUT.,TOYOTA,Flex,Automático,Elétrica,Prata,2015,86000,2.0,0,73000
TOYOTA COROLLA XEI 2.0 FLEX 16V AUT.,TOYOTA,Flex,Automático,Elétrica,Azul,2016,75000,2.0,0,75000
TOYOTA COROLLA XEI 2.0 FLEX 16V AUT.,TOYOTA,Flex,Automático,Hidráulica,Branco,2019,20000,2.0,0,106000
TOYOTA COROLLA XEI 2.0 FLEX 16V AUT.,TOYOTA,Flex,Automático,Elétrica,Branco,2015,66000,2.0,0,76900
TOYOTA COROLLA XEI 2.0 FLEX 16V AUT.,TOYOTA,Flex,Automático,Elétrica,Prata,2018,50000,2.0,0,93000
