modelo,marca,combustivel,cambio,direcao,cor,ano,quilometragem,potenciamotor,blindado,valor
GM - CHEVROLET ONIX HATCH LT 1.0 8V FLEXPOWER 5P MEC.,GM - CHEVROLET,Flex,Manual,Elétrica,Prata,2019,62158,1.0,0,44000
GM - CHEVROLET ONIX HATCH LT 1.0 8V FLEXPOWER 5P MEC.,GM - CHEVROLET,Flex,Manual,Elétrica,Branco,2018,48000,1.0,0,44800
GM - CHEVROLET ONIX HATCH LT 1.0 8V FLEXPOWER 5P MEC.,GM - CHEVROLET,Flex,Manual,Hidráulica,Branco,2016,10000,1.0,0,42000
GM - CHEVROLET ONIX HATCH LT 1.0 8V FLEXPOWER 5P MEC.,GM - CHEVROLET,Flex,Manual,Elétrica,Prata,2019,13800,1.0,0,45000
GM - CHEVROLET ONIX HATCH LT 1.0 8V FLEXPOWER 5P MEC.,GM - CHEVROLET,Flex,Manual,Hidráulica,Branco,2017,44000,1.0,0,47000
GM - CHEVROLET ONIX HATCH LT 1.0 8V FLEXPOWER 5P MEC.,GM - CHEVROLET,Flex,Manual,Hidráulica,Branco,2015,64000,1.0,0,34700
GM - CHEVROLET ONIX HATCH LT 1.0 8V FLEXPOWER 5P MEC.,GM - CHEVROLET,Flex,Manual,Elétrica,Prata,2019,40000,1.0,0,49700
GM - CHEVROLET ONIX HATCH LT 1.0 8V FLEXPOWER 5P MEC.,GM - CHEVROLET,Flex,Manual,Hidráulica,Outra,2016,1,1.0,0,42000
GM - CHEVROLET ONIX HATCH LT 1.0 8V FLEXPOWER 5P MEC.,GM - CHEVROLET,Flex,Manual,Elétrica,Prata,2019,69852,1.0,0,56500
GM - CHEVROLET ONIX HATCH LT 1.0 8V FLEXPOWER 5P MEC.,GM - CHEVROLET,Flex,Manual,Hidráulica,Prata,2017,31000,1.0,0,44300
GM - CHEVROLET ONIX HATCH LT 1.0 8V FLEXPOWER 5P MEC.,GM - CHEVROLET,Flex,Automático,Hidráulica,Azul,2015,37000,1.0,0,35000
GM - CHEVROLET ONIX HATCH LT 1.0 8V FLEXPOWER 5P MEC.,GM - CHEVROLET,Flex,Manual,Hidráulica,Preto,2015,56000,1.0,0,37990
