@relation SP_COMPLETO-weka.filters.unsupervised.attribute.OrdinalToNumeric-Rfirst-last-weka.filters.unsupervised.attribute.Normalize-S1.0-T0.0_predicted

@attribute modelo numeric
@attribute marca numeric
@attribute combustivel numeric
@attribute cambio numeric
@attribute direcao numeric
@attribute cor numeric
@attribute ano numeric
@attribute quilometragem numeric
@attribute potenciamotor numeric
@attribute blindado numeric
@attribute predictedvalor numeric
@attribute valor numeric

@data
0.381178,0.27027,0.2,0,0.333333,0,0.75,0.0027,0.266667,0,95127.616427,59900
0.287066,0.189189,0,0,0.333333,0.111111,0,0.00792,0.333333,0,82728.490028,79990
0.774974,0.783784,0.2,0.5,0,0,0,0.00927,0,0,38169.933335,31500
0.413775,0.297297,0.2,0,0.333333,0.555556,0.75,0.000907,0.266667,0,101288.829189,95000
0.763933,0.783784,0.2,0.5,0,0.111111,0,0.01071,0,0,38289.733943,29650
0.981598,1,0.2,0.5,0,0.222222,0,0.01206,0,0,37609.097946,34000
0.359096,0.27027,0.2,0.5,0,0.333333,0.75,0.00675,0.133333,0,56515.171572,52900
0.235542,0.162162,0.2,0.5,0,0.555556,1,0.00567,0,0,49879.807035,39900
0.411672,0.297297,0.2,0,0.333333,0.444444,0.75,0.002133,0.166667,0,81000.086368,76990
0.439012,0.324324,0.2,0.5,0.333333,0.333333,0,0.00612,0,0,32889.551848,43000
0.497897,0.432432,0.4,0,0,0,1,0.002639,0.333333,0,117581.791881,149900
0.290747,0.189189,0.2,0.5,0,0.222222,0,0.0054,0,0,35321.294995,38900
0.355941,0.27027,0.2,0.5,0.333333,0.222222,1,0.0045,0,0,46504.692702,44990
0.692429,0.72973,0.2,0.5,0.333333,0.222222,0.25,0.009708,0.2,0,55177.551117,53900
0.64143,0.675676,0,0,0.333333,0.333333,0,0.00477,0.333333,0,89177.165028,79990
0.063091,0.027027,0.2,0,0.333333,0.222222,0.5,0.002664,0.333333,0,107217.056243,159990
0.957939,1,0.2,0.5,0,0.222222,0.25,0.005373,0.2,0,54483.607404,69900
0.669295,0.702703,0.2,0.5,0.333333,0.111111,1,0.00504,0,0,49815.734763,41900
0.687697,0.702703,0.2,0,0.333333,0.111111,0.75,0.005181,0.2,0,89447.867895,57500
0.993165,1,0.2,0.5,0,0,0.5,0.00711,0.2,0,57161.779311,43900
0.780757,0.783784,0.2,0.5,0,0,0.25,0.004395,0.2,0,53207.386438,36500
0.686646,0.702703,0.2,0.5,0,0.222222,0.25,0.00531,0.2,0,54787.943237,43900
0.181914,0.162162,0.2,0.5,0,0,0.25,0.0063,0,0,39674.625565,30900
0.774448,0.783784,0.2,0.5,0.333333,0.222222,1,0.000008,0,0,48205.684494,40990
0.439012,0.324324,0.2,0.5,0,0.111111,0.5,0.004977,0,0,37577.75041,45900
0.333859,0.27027,0.2,0.5,0,0,0,0.009,0.133333,0,44433.42086,38000
0.819138,0.918919,0.2,0,0.333333,0,0.75,0.00504,0.266667,0,105527.178015,83900
0.176656,0.162162,0.2,0.5,0,0.111111,0.5,0.005715,0,0,42206.9839,39900
0.754469,0.783784,0.2,0.5,0,0.333333,0.75,0.007057,0,0,45468.775466,42990
0.024185,0,0.2,0,0,0,1,0.004526,0.133333,0,92488.201699,150900
0.341746,0.27027,0.2,0,0,0.222222,0.75,0.00225,0.133333,0,76536.324464,92900
0.303891,0.189189,0.2,0.5,0.666667,0.222222,1,0.004886,0,0,44958.613232,46890
0.439012,0.324324,0.2,0.5,0,0,0.75,0.000009,0,0,40256.687201,41000
0.458465,0.324324,0.2,0.5,0.333333,0,0,0.00711,0.2,0,44947.415791,52900
0.754469,0.783784,0.2,0.5,0,0.222222,0.75,0.0135,0,0,45520.082141,36000
0.47266,0.324324,0.2,0,0,0.222222,0,0.00558,0.333333,0,73267.025242,52000
0.987382,1,0.2,0,0.333333,0.111111,1,0.00344,0.2,0,98525.724723,71890
0.495268,0.432432,0.2,0,0.333333,0.555556,0.5,0.00414,0.333333,0,104220.908086,106990
0.960568,1,0.2,0.5,0,0.222222,0.75,0.010062,0.2,0,66934.738095,42800
0.122503,0.108108,0,0,0,0.333333,0,0.005882,0.666667,1,217161.228936,83990
0.729232,0.783784,0.2,0.5,0,0,0.25,0.00001,0,0,40388.982375,24000
0.303891,0.189189,0.2,0.5,0.333333,0.222222,1,0.004886,0,0,45469.73907,46890
0.309148,0.189189,0.4,0,0,0.222222,0.5,0.01143,0.666667,0,168917.051591,135900
0.180862,0.162162,0.2,0.5,0.666667,0.555556,0.25,0.00945,0,0,37203.077799,29500
0.967928,1,0.2,0.5,0,0.111111,0.25,0.00369,0.2,0,53687.179,43000
0.436383,0.324324,0.2,0.5,0,0.333333,0.25,0.005407,0,0,35567.336447,41800
0.356993,0.27027,0.2,0.5,0,0,0,0.0063,0,0,36167.387462,39500
0.510515,0.432432,0.2,0,0,0.111111,0.5,0.005546,0.266667,0,85012.215069,72900
0.830705,0.918919,0.2,0.5,0,0,1,0.003332,0.166667,0,72697.509021,51300
