modelo,marca,combustivel,cambio,direcao,cor,ano,quilometragem,potenciamotor,blindado,valor
AUDI A1,AUDI,Gasolina,Automático,Hidráulica,Prata,2016,68153,1.8,0,98990.0
AUDI A1 SPORTBACK 1.4 TFSI 5P S-TRONIC,AUDI,Gasolina,Automático,Hidráulica,Preto,2015,45000,1.4,1,79900.0
AUDI A1 SPORTBACK 1.4 TFSI 5P S-TRONIC,AUDI,Gasolina,Automático,Elétrica,Preto,2015,41846,1.4,0,75900.0
AUDI A1 SPORTBACK 1.4 TFSI 5P S-TRONIC,AUDI,Gasolina,Automático,Elétrica,Prata,2016,41000,1.4,0,79999.0
AUDI A1 SPORTBACK 1.4 TFSI 5P S-TRONIC,AUDI,Gasolina,Automático,Elétrica,Branco,2016,43000,1.4,0,86900.0
AUDI A3,AUDI,Flex,Automático,Elétrica,Branco,2019,14353,1.4,0,138890.0
AUDI A3,AUDI,Gasolina,Automático,Hidráulica,Preto,2015,80000,1.4,0,69500.0
AUDI A3,AUDI,Flex,Automático,Elétrica,Cinza,2019,38819,1.4,0,125990.0
AUDI A3,AUDI,Flex,Automático,Hidráulica,Preto,2016,72000,1.4,0,82899.0
AUDI A3,AUDI,Flex,Automático,Elétrica,Preto,2018,61546,1.4,0,106890.0
AUDI A3,AUDI,Flex,Automático,Elétrica,Preto,2018,61546,1.4,0,106890.0
AUDI A3,AUDI,Flex,Automático,Elétrica,Cinza,2019,26089,1.4,0,136990.0
AUDI A3,AUDI,Flex,Automático,Elétrica,Azul,2019,20140,1.4,0,134890.0
AUDI A3,AUDI,Flex,Automático,Elétrica,Azul,2015,92790,1.4,0,72900.0
AUDI A3,AUDI,Flex,Automático,Hidráulica,Branco,2015,132000,1.4,0,74990.0
AUDI A3 1.6 3P,AUDI,Flex,Automático,Elétrica,Azul,2019,4362,1.4,0,128500.0
AUDI A3 1.6 3P,AUDI,Flex,Automático,Elétrica,Preto,2017,66620,1.4,0,93500.0
AUDI A3 1.6 3P,AUDI,Flex,Automático,Hidráulica,Branco,2018,33992,1.4,0,112900.0
AUDI A3 1.8 TURBO 5P AUT.,AUDI,Flex,Automático,Elétrica,Branco,2016,70000,1.8,0,75000.0
AUDI A3 CABRIOLET 1.8 16V TFSI 180CV S-TRONIC,AUDI,Gasolina,Automático,Elétrica,Branco,2016,47000,1.8,0,165000.0
AUDI A3 SED. AMBITION 2.0 TSFI 220CV S-TRONIC,AUDI,Gasolina,Automático,Hidráulica,Preto,2016,48135,2.0,0,119500.0
AUDI A3 SED. AMBITION 2.0 TSFI 220CV S-TRONIC,AUDI,Gasolina,Automático,Hidráulica,Branco,2017,86000,2.0,0,124900.0
AUDI A3 SED. AMBITION 2.0 TSFI 220CV S-TRONIC,AUDI,Gasolina,Automático,Elétrica,Branco,2016,51900,2.0,1,115000.0
AUDI A3 SED. AMBITION 2.0 TSFI 220CV S-TRONIC,AUDI,Gasolina,Automático,Elétrica,Branco,2016,75000,2.0,0,115900.0
AUDI A3 SED. AMBITION 2.0 TSFI 220CV S-TRONIC,AUDI,Gasolina,Automático,Elétrica,Preto,2016,57141,2.0,0,113900.0
AUDI A3 SED. AMBITION 2.0 TSFI 220CV S-TRONIC,AUDI,Gasolina,Automático,Hidráulica,Branco,2016,77601,2.0,0,119900.0
AUDI A3 SED. P. PLUS TECH 1.4 FLEX TFSI TIP,AUDI,Gasolina,Automático,Elétrica,Branco,2016,56300,1.4,0,68900.0
AUDI A3 SED. P.PLUS 1.4 25ANOS FLEX TFSI TIP.,AUDI,Flex,Automático,Elétrica,Vermelho,2019,5000,1.4,0,149990.0
AUDI A3 SED. P.PLUS 1.4 25ANOS FLEX TFSI TIP.,AUDI,Flex,Automático,Hidráulica,Branco,2019,18120,1.4,0,131900.0
AUDI A3 SED.1.8/1.8 AMBIT.16V TB FSI S-TRONIC,AUDI,Gasolina,Automático,Elétrica,Preto,2015,46000,1.8,1,99900.0
AUDI A3 SED.1.8/1.8 AMBIT.16V TB FSI S-TRONIC,AUDI,Gasolina,Automático,Elétrica,Preto,2016,57000,1.8,0,98990.0
AUDI A3 SED.1.8/1.8 AMBIT.16V TB FSI S-TRONIC,AUDI,Gasolina,Automático,Hidráulica,Preto,2015,85011,1.8,0,88890.0
AUDI A3 SED.1.8/1.8 AMBIT.16V TB FSI S-TRONIC,AUDI,Gasolina,Automático,Elétrica,Preto,2015,91000,1.8,0,79900.0
AUDI A3 SED.1.8/1.8 AMBIT.16V TB FSI S-TRONIC,AUDI,Gasolina,Automático,Elétrica,Preto,2016,57000,1.8,0,96990.0
AUDI A3 SED.1.8/1.8 AMBIT.16V TB FSI S-TRONIC,AUDI,Gasolina,Automático,Hidráulica,Preto,2015,112000,1.8,0,90000.0
AUDI A3 SED.1.8/1.8 AMBIT.16V TB FSI S-TRONIC,AUDI,Gasolina,Automático,Elétrica,Preto,2015,65000,1.8,0,88900.0
AUDI A3 SED.1.8/1.8 AMBIT.16V TB FSI S-TRONIC,AUDI,Gasolina,Automático,Hidráulica,Branco,2016,83943,1.8,0,93999.0
AUDI A3 SED.1.8/1.8 AMBIT.16V TB FSI S-TRONIC,AUDI,Gasolina,Automático,Hidráulica,Branco,2015,78000,2.0,0,95900.0
AUDI A3 SED.1.8/1.8 AMBIT.16V TB FSI S-TRONIC,AUDI,Gasolina,Automático,Hidráulica,Branco,2015,45000,1.8,0,97000.0
AUDI A3 SED.1.8/1.8 AMBIT.16V TB FSI S-TRONIC,AUDI,Gasolina,Automático,Elétrica,Preto,2016,76000,1.8,0,92900.0
AUDI A3 SED.1.8/1.8 AMBIT.16V TB FSI S-TRONIC,AUDI,Gasolina,Automático,Elétrica,Branco,2015,46500,1.8,0,84000.0
AUDI A3 SED.1.8/1.8 AMBIT.16V TB FSI S-TRONIC,AUDI,Gasolina,Automático,Hidráulica,Branco,2015,78219,1.8,0,95900.0
AUDI A3 SED.1.8/1.8 AMBIT.16V TB FSI S-TRONIC,AUDI,Gasolina,Automático,Hidráulica,Preto,2016,65000,1.8,0,94900.0
AUDI A3 SED.1.8/1.8 AMBIT.16V TB FSI S-TRONIC,AUDI,Gasolina,Automático,Hidráulica,Branco,2016,89000,1.8,0,92999.0
AUDI A3 SEDAN 1.4 TFSI FLEX TIPTRONIC 4P,AUDI,Flex,Automático,Elétrica,Preto,2016,80000,1.4,0,82900.0
AUDI A3 SEDAN 1.4 TFSI FLEX TIPTRONIC 4P,AUDI,Flex,Automático,Hidráulica,Prata,2018,22,1.4,0,90000.0
AUDI A3 SEDAN 1.4 TFSI FLEX TIPTRONIC 4P,AUDI,Flex,Automático,Hidráulica,Preto,2016,87000,1.4,0,79900.0
AUDI A3 SEDAN 1.4 TFSI FLEX TIPTRONIC 4P,AUDI,Flex,Automático,Elétrica,Preto,2016,70000,1.4,0,72999.0
AUDI A3 SEDAN 1.4 TFSI FLEX TIPTRONIC 4P,AUDI,Flex,Automático,Elétrica,Branco,2018,40000,1.4,0,118800.0
AUDI A3 SEDAN 1.4 TFSI FLEX TIPTRONIC 4P,AUDI,Flex,Automático,Hidráulica,Prata,2017,60000,1.4,1,109900.0
AUDI A3 SEDAN 1.4 TFSI FLEX TIPTRONIC 4P,AUDI,Flex,Automático,Elétrica,Branco,2018,27000,1.4,0,105900.0
AUDI A3 SEDAN 1.4 TFSI FLEX TIPTRONIC 4P,AUDI,Gasolina,Automático,Hidráulica,Cinza,2015,117000,1.4,0,80000.0
AUDI A3 SEDAN 1.4 TFSI FLEX TIPTRONIC 4P,AUDI,Flex,Automático,Hidráulica,Cinza,2018,50000,1.4,0,104900.0
AUDI A3 SEDAN 1.4 TFSI FLEX TIPTRONIC 4P,AUDI,Flex,Automático,Hidráulica,Prata,2017,59000,1.4,0,87900.0
AUDI A3 SEDAN 1.4 TFSI FLEX TIPTRONIC 4P,AUDI,Flex,Automático,Elétrica,Vermelho,2016,97000,1.4,0,84900.0
AUDI A3 SEDAN 1.4 TFSI FLEX TIPTRONIC 4P,AUDI,Flex,Automático,Hidráulica,Cinza,2016,54500,1.4,0,81500.0
AUDI A3 SEDAN 1.4 TFSI FLEX TIPTRONIC 4P,AUDI,Flex,Automático,Elétrica,Preto,2018,11000,1.4,0,115890.0
AUDI A3 SEDAN 1.4 TFSI FLEX TIPTRONIC 4P,AUDI,Gasolina,Automático,Elétrica,Branco,2015,120000,1.4,1,69800.0
AUDI A3 SEDAN 1.4 TFSI FLEX TIPTRONIC 4P,AUDI,Flex,Automático,Elétrica,Preto,2018,50000,1.4,0,81900.0
AUDI A3 SEDAN 1.4 TFSI FLEX TIPTRONIC 4P,AUDI,Flex,Automático,Hidráulica,Branco,2018,36000,1.4,0,106900.0
AUDI A3 SEDAN 1.4 TFSI FLEX TIPTRONIC 4P,AUDI,Flex,Automático,Hidráulica,Azul,2018,37,1.4,0,115000.0
AUDI A3 SEDAN 1.4 TFSI FLEX TIPTRONIC 4P,AUDI,Flex,Automático,Elétrica,Azul,2015,92600,1.4,0,72900.0
AUDI A3 SEDAN 1.4 TFSI FLEX TIPTRONIC 4P,AUDI,Flex,Automático,Elétrica,Cinza,2016,62000,1.4,0,80900.0
AUDI A3 SEDAN 1.4 TFSI FLEX TIPTRONIC 4P,AUDI,Flex,Automático,Hidráulica,Branco,2016,104000,1.4,0,79900.0
AUDI A3 SEDAN 1.4 TFSI FLEX TIPTRONIC 4P,AUDI,Flex,Automático,Hidráulica,Preto,2018,30500,1.4,0,112000.0
AUDI A3 SEDAN 1.4 TFSI FLEX TIPTRONIC 4P,AUDI,Flex,Automático,Elétrica,Branco,2016,74000,1.4,0,85000.0
AUDI A3 SEDAN 1.4 TFSI FLEX TIPTRONIC 4P,AUDI,Flex,Automático,Elétrica,Azul,2018,38411,1.4,0,140000.0
AUDI A3 SEDAN 1.4 TFSI FLEX TIPTRONIC 4P,AUDI,Gasolina,Automático,Hidráulica,Prata,2015,110000,1.4,0,73000.0
AUDI A3 SEDAN 1.4 TFSI FLEX TIPTRONIC 4P,AUDI,Gasolina,Automático,Hidráulica,Preto,2018,49990,1.4,0,97995.0
AUDI A3 SEDAN 1.4 TFSI FLEX TIPTRONIC 4P,AUDI,Gasolina,Manual,Hidráulica,Preto,2016,114600,1.4,0,82900.0
AUDI A3 SEDAN 1.4 TFSI FLEX TIPTRONIC 4P,AUDI,Flex,Automático,Elétrica,Branco,2016,78000,1.4,0,93000.0
AUDI A3 SEDAN 1.4 TFSI FLEX TIPTRONIC 4P,AUDI,Flex,Automático,Hidráulica,Cinza,2017,61341,1.4,0,99900.0
AUDI A3 SEDAN 1.4 TFSI FLEX TIPTRONIC 4P,AUDI,Flex,Automático,Hidráulica,Prata,2017,52600,1.4,0,93800.0
