@relation SP_FIT-weka.filters.unsupervised.attribute.OrdinalToNumeric-Rfirst-last-weka.filters.unsupervised.attribute.Normalize-S1.0-T0.0_predicted

@attribute modelo numeric
@attribute marca numeric
@attribute combustivel numeric
@attribute cambio numeric
@attribute direcao numeric
@attribute cor numeric
@attribute ano numeric
@attribute quilometragem numeric
@attribute potenciamotor numeric
@attribute blindado numeric
@attribute predictedvalor numeric
@attribute valor numeric

@data
0,0,0,0,1,0.4,0,0.656969,0.166667,0,56247.040399,52000
0,0,0,0,0,0,0.25,0.535479,0.166667,1,59084.013531,58000
0,0,0,0,0,0.2,0,0.556918,0.166667,0,55957.487455,50990
0,0,0,0,1,0.2,0,0.424308,0.166667,0,57534.373074,61990
0,0,0,0,0,0.8,0.25,0.296536,0.166667,0,62987.330576,62800
0,0,0,0,1,0.2,0,0.629055,0.166667,0,56067.19595,58900
0,0,0,0,1,0.2,0,0.73558,0.166667,0,55328.70677,58000
0,0,0,0,0,0.2,0,0.891838,0.166667,0,53686.508823,54590
0,0,0,0,0,0.4,0.5,0.537537,0.166667,0,64252.092977,66900
0,0,0,0,0,0.4,0.5,0.356817,0.166667,0,65671.266458,67990
0,0,0,0,0,0.6,0.25,0.639103,0.166667,0,59895.416369,59900
0,0,0,0,1,0.2,0.25,0.385403,0.166667,0,61688.393502,61900
0,0,0,0,1,0.2,0,0.85707,0.166667,0,54509.015416,55900
0,0,0,0,0,0,0.25,0.428281,0.166667,0,60289.373377,59000
0,0,0,0,0,0.4,0.25,0.785606,0.166667,0,58376.081551,57900
0,0,0,0,0,0.8,0.75,0.295257,0.166667,0,70749.872378,69500
0,0,0,0,0,0,0.75,0.168864,0.166667,0,70129.715776,76990
0,0,0,0,0,0.2,0,0.642676,0.166667,0,55358.406939,58000
0,0,0,0,1,0,0,0.689128,0.166667,0,55937.657169,55900
0,0,0,0,0,0.2,0,0.571211,0.166667,0,56425.233807,44900
0,0,0,0,0,0.6,0.5,0.211028,0.166667,0,67019.771375,70900
0,0,0,0,0,0.2,0,0.59408,0.166667,0,56264.436278,54990
0,0,0,0,1,0.2,0.25,0.271059,0.166667,0,62914.516672,59900
0,0,0,1,0,0.4,0,0.706994,0.166667,0,55185.890027,54900
0,0,0,0,0,0.4,0.5,0.356817,0.166667,0,65611.038696,64390
0,0,0,0,1,0.6,0.5,0.37111,0.166667,0,66459.895796,64900
0,0,0,0,1,0.4,0.75,0.469595,0.166667,0,68994.053006,73990
0,0,0,0,1,0.6,0.25,0.664115,0.166667,0,60512.067333,59900
0,0,0,0,0,0.6,0.5,0.102402,0.166667,0,67828.271815,71900
0,0,0,0,1,0.6,0,0.628383,0.166667,0,57220.346097,47900
0,0,0,0,1,0.2,0.25,0.296164,0.166667,0,62720.308296,54320
0,0,0,0,0,0.6,0.25,0.771313,0.166667,0,59051.560985,60900
0,0,0,0,1,0.2,1,0.120983,0.166667,0,74199.540377,79500
0,0,0,0,1,0.2,0,0.664115,0.166667,0,56393.202796,55000
0,0,0,0,0,0.2,0.5,0.297001,0.166667,0,65760.22999,65000
0,0,0,0,0,0.8,0.5,0.485453,0.166667,0,65242.627903,64900
0,0,0,0,0,0.4,0,0.807045,0.166667,0,54917.723323,46000
0,0,0,0,0,1,0.25,0.58336,0.166667,0,60766.730816,63490
0,0,0,0,1,0.4,0,1,0.166667,0,53978.292084,52000
0,0,0,0,1,0.2,0,0.381829,0.166667,0,58055.661594,57800
0,0,0,0,0,0.6,0.5,0.201924,0.166667,0,67023.749522,69900
0,0,0,0,0,0.8,0,0.599797,0.166667,0,56786.323228,58500
0,0,0,0,0,0.6,0.5,0.399696,0.166667,0,65509.935847,64500
0,0,0,0,0,0.2,0.5,0.835631,0.166667,0,61634.673408,68900
0,0,0,0,1,0.2,0,0.556918,0.166667,0,56784.257402,56580
0,0,0,0,0,0.6,0,0.649822,0.166667,0,56214.246707,57900
0,0,0,0,1,0.8,0.75,0.106561,0.166667,0,71709.412494,80900
0,0,0,0,1,0.2,0,0.728434,0.166667,0,55583.150347,59990
0,0,0,0,1,0.6,0.25,0.356817,0.166667,0,62408.436815,64900
0,0,0,0,0,0.8,0.75,0.295257,0.166667,0,70091.909006,71500
0,0,0,0,0,0.2,0.75,0.206741,0.166667,0,70082.121364,70500
0,0,0,0,0,0.2,0,0.428281,0.166667,0,57373.359814,44200
0,0,0,0,0,0.8,0.75,0.171008,0.166667,0,70948.143959,69900
0,0,0,0,0,0.2,0.25,0.61697,0.166667,0,59581.579166,62900
0,0,0,0,0,0.4,0,0.621236,0.166667,0,55622.997478,57900
0,0,1,0,0,0.6,0.5,0.458297,0.166667,0,66042.597828,66500
