modelo,marca,combustivel,cambio,direcao,cor,ano,quilometragem,potenciamotor,blindado,valor
HONDA FIT LX 1.5 FLEXONE 16V 5P AUT.,HONDA,Flex,Automático,Elétrica,Azul,2016,75000,1.5,1,58000.0
HONDA FIT LX 1.5 FLEXONE 16V 5P AUT.,HONDA,Flex,Automático,Elétrica,Cinza,2018,64700,1.5,0,66990.0
HONDA FIT LX 1.5 FLEXONE 16V 5P AUT.,HONDA,Flex,Automático,Hidráulica,Branco,2018,68000,1.5,0,67990.0
HONDA FIT LX 1.5 FLEXONE 16V 5P AUT.,HONDA,Flex,Automático,Elétrica,Prata,2015,74721,1.5,0,52000.0
HONDA FIT LX 1.5 FLEXONE 16V 5P AUT.,HONDA,Flex,Automático,Hidráulica,Cinza,2015,103000,1.5,0,58000.0
HONDA FIT LX 1.5 FLEXONE 16V 5P AUT.,HONDA,Flex,Automático,Hidráulica,Prata,2015,64000,1.5,0,57999.0
HONDA FIT LX 1.5 FLEXONE 16V 5P AUT.,HONDA,Flex,Automático,Elétrica,Preto,2015,89900,1.5,0,57900.0
HONDA FIT LX 1.5 FLEXONE 16V 5P AUT.,HONDA,Flex,Automático,Elétrica,Prata,2015,138000,1.5,0,53990.0
HONDA FIT LX 1.5 FLEXONE 16V 5P AUT.,HONDA,Flex,Automático,Hidráulica,Branco,2015,140000,1.5,0,52000.0
HONDA FIT LX 1.5 FLEXONE 16V 5P AUT.,HONDA,Flex,Automático,Hidráulica,Branco,2015,92000,1.5,0,52000.0
HONDA FIT LX 1.5 FLEXONE 16V 5P AUT.,HONDA,Flex,Automático,Hidráulica,Branco,2019,45000,1.5,0,79890.0
HONDA FIT LX 1.5 FLEXONE 16V 5P AUT.,HONDA,Flex,Automático,Elétrica,Vermelho,2016,81700,1.5,0,63490.0
HONDA FIT LX 1.5 FLEXONE 16V 5P AUT.,HONDA,Flex,Automático,Elétrica,Branco,2018,66000,1.5,0,68890.0
HONDA FIT LX 1.5 FLEXONE 16V 5P AUT.,HONDA,Flex,Automático,Hidráulica,Vermelho,2015,88500,1.5,0,53500.0
HONDA FIT LX 1.5 FLEXONE 16V 5P AUT.,HONDA,Flex,Automático,Elétrica,Prata,2016,108000,1.5,0,60900.0
HONDA FIT LX 1.5 FLEXONE 16V 5P AUT.,HONDA,Flex,Automático,Elétrica,Prata,2015,55600,1.5,0,56950.0
HONDA FIT LX 1.5 FLEXONE 16V 5P AUT.,HONDA,Flex,Automático,Elétrica,Cinza,2015,85000,1.5,0,54900.0
HONDA FIT LX 1.5 FLEXONE 16V 5P AUT.,HONDA,Flex,Automático,Elétrica,Cinza,2015,84000,1.5,0,54990.0
HONDA FIT LX 1.5 FLEXONE 16V 5P AUT.,HONDA,Flex,Automático,Elétrica,Vermelho,2015,90000,1.5,0,58900.0
HONDA FIT LX 1.5 FLEXONE 16V 5P AUT.,HONDA,Flex,Automático,Hidráulica,Cinza,2015,102000,1.5,0,59990.0
HONDA FIT LX 1.5 FLEXONE 16V 5P AUT.,HONDA,Flex,Automático,Hidráulica,Cinza,2019,17000,1.5,0,70000.0
HONDA FIT LX 1.5 FLEXONE 16V 5P AUT.,HONDA,Flex,Automático,Elétrica,Prata,2016,89500,1.5,0,59900.0
HONDA FIT LX 1.5 FLEXONE 16V 5P AUT.,HONDA,Flex,Automático,Elétrica,Preto,2016,40000,1.5,0,61900.0
HONDA FIT LX 1.5 FLEXONE 16V 5P AUT.,HONDA,Flex,Automático,Elétrica,Prata,2017,57500,1.5,0,68700.0
HONDA FIT LX 1.5 FLEXONE 16V 5P AUT.,HONDA,Flex,Automático,Elétrica,Prata,2015,42597,1.5,0,63900.0
HONDA FIT LX 1.5 FLEXONE 16V 5P AUT.,HONDA,Flex,Automático,Hidráulica,Prata,2017,11500,1.5,0,72900.0
HONDA FIT LX 1.5 FLEXONE 16V 5P AUT.,HONDA,Flex,Automático,Elétrica,Branco,2017,109000,1.5,0,59990.0
HONDA FIT LX 1.5 FLEXONE 16V 5P AUT.,HONDA,Flex,Automático,Elétrica,Vermelho,2015,77500,1.5,0,55790.0
HONDA FIT LX 1.5 FLEXONE 16V 5P AUT.,HONDA,Flex,Automático,Elétrica,Preto,2017,68000,1.5,0,64900.0
HONDA FIT LX 1.5 FLEXONE 16V 5P AUT.,HONDA,Flex,Automático,Elétrica,Cinza,2015,84100,1.5,0,54870.0
HONDA FIT LX 1.5 FLEXONE 16V 5P AUT.,HONDA,Flex,Automático,Hidráulica,Prata,2017,67000,1.5,0,68900.0
HONDA FIT LX 1.5 FLEXONE 16V 5P AUT.,HONDA,Flex,Automático,Hidráulica,Branco,2016,51226,1.5,0,61900.0
HONDA FIT LX 1.5 FLEXONE 16V 5P AUT.,HONDA,Flex,Automático,Elétrica,Cinza,2015,80000,1.5,0,44900.0
HONDA FIT LX 1.5 FLEXONE 16V 5P AUT.,HONDA,Flex,Automático,Hidráulica,Cinza,2015,60000,1.5,0,59900.0
HONDA FIT LX 1.5 FLEXONE 16V 5P AUT.,HONDA,Flex,Automático,Elétrica,Preto,2015,70583,1.5,0,61000.0
HONDA FIT LX 1.5 FLEXONE 16V 5P AUT.,HONDA,Flex,Automático,Elétrica,Preto,2016,41565,1.5,0,62800.0
HONDA FIT LX 1.5 FLEXONE 16V 5P AUT.,HONDA,Flex,Automático,Elétrica,Cinza,2015,60000,1.5,0,44200.0
HONDA FIT LX 1.5 FLEXONE 16V 5P AUT.,HONDA,Flex,Automático,Elétrica,Cinza,2015,83200,1.5,0,54990.0
HONDA FIT LX 1.5 FLEXONE 16V 5P AUT.,HONDA,Flex,Automático,Hidráulica,Prata,2015,61000,1.5,0,49500.0
HONDA FIT LX 1.5 FLEXONE 16V 5P AUT.,HONDA,Flex,Automático,Hidráulica,Cinza,2015,93000,1.5,0,55000.0
HONDA FIT LX 1.5 FLEXONE 16V 5P AUT.,HONDA,Flex,Automático,Hidráulica,Prata,2017,56395,1.5,0,65490.0
HONDA FIT LX 1.5 FLEXONE 16V 5P AUT.,HONDA,Flex,Automático,Hidráulica,Prata,2017,29000,1.5,0,57900.0
HONDA FIT LX 1.5 FLEXONE 16V 5P AUT.,HONDA,Flex,Automático,Elétrica,Cinza,2015,83600,1.5,0,54980.0
HONDA FIT LX 1.5 FLEXONE 16V 5P AUT.,HONDA,Flex,Automático,Elétrica,Cinza,2018,90000,1.5,0,68990.0
HONDA FIT LX 1.5 FLEXONE 16V 5P AUT.,HONDA,Flex,Automático,Hidráulica,Cinza,2015,93000,1.5,0,55000.0
HONDA FIT LX 1.5 FLEXONE 16V 5P AUT.,HONDA,Flex,Automático,Elétrica,Prata,2017,56000,1.5,0,64500.0
HONDA FIT LX 1.5 FLEXONE 16V 5P AUT.,HONDA,Flex,Automático,Elétrica,Prata,2017,29475,1.5,0,64800.0
HONDA FIT LX 1.5 FLEXONE 16V 5P AUT.,HONDA,Flex,Automático,Hidráulica,Cinza,2015,66200,1.5,0,58900.0
HONDA FIT LX 1.5 FLEXONE 16V 5P AUT.,HONDA,Flex,Automático,Elétrica,Cinza,2018,29000,1.5,0,70500.0
HONDA FIT LX 1.5 FLEXONE 16V 5P AUT.,HONDA,Flex,Automático,Hidráulica,Cinza,2019,14000,1.5,0,78800.0
HONDA FIT LX 1.5 FLEXONE 16V 5P AUT.,HONDA,Flex,Automático,Hidráulica,Branco,2015,119000,1.5,0,57900.0
HONDA FIT LX 1.5 FLEXONE 16V 5P AUT.,HONDA,Flex,Automático,Hidráulica,Prata,2017,52000,1.5,0,64900.0
HONDA FIT LX 1.5 FLEXONE 16V 5P AUT.,HONDA,Flex,Automático,Elétrica,Cinza,2015,70000,1.5,0,43990.0
HONDA FIT LX 1.5 FLEXONE 16V 5P AUT.,HONDA,Flex,Automático,Hidráulica,Prata,2015,98450,1.5,0,59900.0
HONDA FIT LX 1.5 FLEXONE 16V 5P AUT.,HONDA,Flex,Automático,Elétrica,Cinza,2015,78000,1.5,0,50990.0
HONDA FIT LX 1.5 FLEXONE 16V 5P AUT.,HONDA,Flex,Automático,Elétrica,Azul,2017,65000,1.5,0,64900.0
HONDA FIT LX 1.5 FLEXONE 16V 5P AUT.,HONDA,Flex,Automático,Elétrica,Cinza,2018,33621,1.5,0,71900.0
HONDA FIT LX 1.5 FLEXONE 16V 5P AUT.,HONDA,Flex,Automático,Elétrica,Branco,2017,50000,1.6,0,67021.0
HONDA FIT LX 1.5 FLEXONE 16V 5P AUT.,HONDA,Flex,Automático,Elétrica,Cinza,2015,80000,1.5,0,44900.0
HONDA FIT LX 1.5 FLEXONE 16V 5P AUT.,HONDA,Flex,Automático,Elétrica,Cinza,2016,72300,1.5,0,62000.0
HONDA FIT LX 1.5 FLEXONE 16V 5P AUT.,HONDA,Gasolina,Automático,Hidráulica,Azul,2016,45000,1.5,0,59000.0
HONDA FIT LX 1.5 FLEXONE 16V 5P AUT.,HONDA,Flex,Automático,Elétrica,Prata,2015,56000,1.5,0,54900.0
HONDA FIT LX 1.5 FLEXONE 16V 5P AUT.,HONDA,Flex,Automático,Elétrica,Azul,2017,68000,1.5,0,64300.0
HONDA FIT LX 1.5 FLEXONE 16V 5P AUT.,HONDA,Flex,Automático,Elétrica,Branco,2017,50000,1.5,0,67990.0
HONDA FIT LX 1.5 FLEXONE 16V 5P AUT.,HONDA,Flex,Automático,Elétrica,Cinza,2017,49000,1.5,0,71900.0
HONDA FIT LX 1.5 FLEXONE 16V 5P AUT.,HONDA,Flex,Automático,Hidráulica,Cinza,2016,62935,1.5,0,67990.0
HONDA FIT LX 1.5 FLEXONE 16V 5P AUT.,HONDA,Flex,Automático,Elétrica,Prata,2016,45000,1.5,0,65500.0
HONDA FIT LX 1.5 FLEXONE 16V 5P AUT.,HONDA,Flex,Automático,Elétrica,Branco,2017,50000,1.5,0,64390.0
HONDA FIT LX 1.5 FLEXONE 16V 5P AUT.,HONDA,Flex,Automático,Hidráulica,Prata,2015,84751,1.5,0,49900.0
HONDA FIT LX 1.5 FLEXONE 16V 5P AUT.,HONDA,Flex,Automático,Elétrica,Branco,2017,46500,1.5,0,62500.0
HONDA FIT LX 1.5 FLEXONE 16V 5P AUT.,HONDA,Flex,Automático,Elétrica,Prata,2017,42000,1.5,0,63500.0
HONDA FIT LX 1.5 FLEXONE 16V 5P AUT.,HONDA,Flex,Automático,Elétrica,Branco,2017,46500,1.5,0,62500.0
HONDA FIT LX 1.5 FLEXONE 16V 5P AUT.,HONDA,Flex,Automático,Elétrica,Branco,2016,110000,1.5,0,57900.0
HONDA FIT LX 1.5 FLEXONE 16V 5P AUT.,HONDA,Flex,Automático,Hidráulica,Cinza,2016,54000,1.5,0,61900.0
HONDA FIT LX 1.5 FLEXONE 16V 5P AUT.,HONDA,Flex,Automático,Hidráulica,Cinza,2018,20000,1.5,0,63000.0
HONDA FIT LX 1.5 FLEXONE 16V 5P AUT.,HONDA,Flex,Automático,Elétrica,Cinza,2015,124865,1.5,0,54590.0
HONDA FIT LX 1.5 FLEXONE 16V 5P AUT.,HONDA,Flex,Automático,Hidráulica,Cinza,2015,59444,1.5,0,61990.0
HONDA FIT LX 1.5 FLEXONE 16V 5P AUT.,HONDA,Flex,Automático,Hidráulica,Cinza,2015,41000,1.5,0,51000.0
HONDA FIT LX 1.5 FLEXONE 16V 5P AUT.,HONDA,Flex,Automático,Elétrica,Branco,2017,75288,1.5,0,66900.0
HONDA FIT LX 1.5 FLEXONE 16V 5P AUT.,HONDA,Flex,Automático,Elétrica,Cinza,2015,102000,1.5,0,59890.0
HONDA FIT LX 1.5 FLEXONE 16V 5P AUT.,HONDA,Flex,Automático,Elétrica,Prata,2017,71,1.5,0,67900.0
HONDA FIT LX 1.5 FLEXONE 16V 5P AUT.,HONDA,Flex,Automático,Elétrica,Prata,2017,28326,1.5,0,69900.0
HONDA FIT LX 1.5 FLEXONE 16V 5P AUT.,HONDA,Flex,Automático,Elétrica,Cinza,2018,33221,1.5,0,72800.0
HONDA FIT LX 1.5 FLEXONE 16V 5P AUT.,HONDA,Flex,Manual,Elétrica,Branco,2015,99000,1.5,0,54900.0
HONDA FIT LX 1.5 FLEXONE 16V 5P AUT.,HONDA,Flex,Automático,Hidráulica,Vermelho,2015,47000,1.5,0,61990.0
HONDA FIT LX 1.5 FLEXONE 16V 5P AUT.,HONDA,Flex,Automático,Elétrica,Prata,2017,32000,1.5,0,66990.0
HONDA FIT LX 1.5 FLEXONE 16V 5P AUT.,HONDA,Flex,Automático,Elétrica,Cinza,2017,117000,1.5,0,68900.0
HONDA FIT LX 1.5 FLEXONE 16V 5P AUT.,HONDA,Flex,Automático,Hidráulica,Preto,2015,110000,1.5,0,52500.0
HONDA FIT LX 1.5 FLEXONE 16V 5P AUT.,HONDA,Flex,Automático,Hidráulica,Cinza,2016,38000,1.5,0,59900.0
HONDA FIT LX 1.5 FLEXONE 16V 5P AUT.,HONDA,Flex,Automático,Hidráulica,Cinza,2015,52350,1.5,0,62000.0
HONDA FIT LX 1.5 FLEXONE 16V 5P AUT.,HONDA,Flex,Automático,Elétrica,Prata,2017,57500,1.5,0,67900.0
HONDA FIT LX 1.5 FLEXONE 16V 5P AUT.,HONDA,Flex,Automático,Elétrica,Prata,2017,29600,1.5,0,70900.0
HONDA FIT LX 1.5 FLEXONE 16V 5P AUT.,HONDA,Flex,Automático,Hidráulica,Cinza,2017,37000,1.5,0,69900.0
HONDA FIT LX 1.5 FLEXONE 16V 5P AUT.,HONDA,Flex,Automático,Elétrica,Preto,2018,24000,1.5,0,69900.0
HONDA FIT LX 1.5 FLEXONE 16V 5P AUT.,HONDA,Flex,Automático,Elétrica,Cinza,2015,120000,1.5,0,57000.0
HONDA FIT LX 1.5 FLEXONE 16V 5P AUT.,HONDA,Flex,Automático,Hidráulica,Branco,2015,57300,1.5,0,53000.0
HONDA FIT LX 1.5 FLEXONE 16V 5P AUT.,HONDA,Flex,Automático,Elétrica,Cinza,2017,41630,1.5,0,65000.0
HONDA FIT LX 1.5 FLEXONE 16V 5P AUT.,HONDA,Flex,Automático,Hidráulica,Prata,2016,93000,1.5,0,59900.0
HONDA FIT LX 1.5 FLEXONE 16V 5P AUT.,HONDA,Flex,Automático,Hidráulica,Prata,2016,50000,1.5,0,64900.0
HONDA FIT LX 1.5 FLEXONE 16V 5P AUT.,HONDA,Flex,Automático,Hidráulica,Cinza,2019,17000,1.5,0,79500.0
HONDA FIT LX 1.5 FLEXONE 16V 5P AUT.,HONDA,Flex,Automático,Hidráulica,Prata,2015,88000,1.5,0,47900.0
HONDA FIT LX 1.5 FLEXONE 16V 5P AUT.,HONDA,Flex,Automático,Hidráulica,Prata,2015,29000,1.5,0,66900.0
HONDA FIT LX 1.5 FLEXONE 16V 5P AUT.,HONDA,Flex,Automático,Elétrica,Preto,2015,84000,1.5,0,58500.0
