@relation SP_HB20-weka.filters.unsupervised.attribute.OrdinalToNumeric-Rfirst-last-weka.filters.unsupervised.attribute.Normalize-S1.0-T0.0_predicted

@attribute modelo numeric
@attribute marca numeric
@attribute combustivel numeric
@attribute cambio numeric
@attribute direcao numeric
@attribute cor numeric
@attribute ano numeric
@attribute quilometragem numeric
@attribute potenciamotor numeric
@attribute blindado numeric
@attribute predictedvalor numeric
@attribute valor numeric

@data
0,0,0,0,0.5,0,0.25,0.388839,0,0,42951.947603,47900
0,0,0,0,0.5,0.333333,1,0.233887,0,0,51217.88228,56990
0,0,0,0,0.5,0,0.25,0.441238,0,0,42741.432326,44900
0,0,0,0,0.5,0.166667,0,0.162153,0,0,41648.437481,41900
0,0,0,0,0.5,0.666667,0,0.516843,0,0,40256.020956,43999
0,0,0,0,0.5,0.333333,0.5,0.564354,0,0,44432.290268,44990
0,0,0,0,0.5,0,0,0.660566,0,0,39977.657547,40500
0,0,0,0,0.5,0,0.5,0.860431,0,0,43275.069604,37900
0,0,0,0,0,0.166667,0.25,0.688263,0,0,42376.44423,38700
0,0,0,0,0,0.166667,0,0.411296,0,0,41352.645211,39900
0,0,0,0,0.5,0.166667,0.5,0.000936,0,0,47065.688829,42500
0,0,0,0,0.5,0.333333,0.25,0.508608,0,0,42373.236259,39000
0,0,0,0,0,0,0.5,0.366382,0,0,46180.854473,45990
0,0,0,0,0,0.166667,0.75,0.313983,0,0,49011.056966,47890
0,0,0,0,0,0,0,0.643349,0,0,40591.285382,45900
0,0,0,0,0.5,0,0.5,0.33644,0,0,45556.681246,43900
0,0,0,0,0.5,0.166667,0,0.690508,0,0,39835.197864,39000
0,0,0,0,0.5,0.333333,0.75,0.33644,0,0,48051.700413,46900
0,0,0,0,0.5,0.333333,0.5,0.47118,0,0,44844.095236,44600
0,0,0,0,0.5,0.166667,0.75,0.522831,0,0,47211.726065,50000
0,0,0,0,0.5,0.166667,0.5,0.660139,0,0,44068.23452,45990
0,0,0,0,0.5,0.333333,0.25,0.447975,0,0,42612.600143,41900
0,0,0,0,0.5,0.333333,0.25,0.750041,0,0,41456.851435,41900
0,0,0,0,0.5,0.5,0,0.520301,0,0,40292.071031,39900
0,0,0,0,0.5,0.333333,1,0.441238,0,0,50221.331782,54900
0,0,0,0,0,0.333333,0.75,0.373868,0,0,48668.115783,46990
0,0,0,0,0.5,0.333333,0,0.411296,0,0,40708.844636,42888
0,0,0,0,0.5,1,0,0.561008,0,0,40016.554488,35500
0,0,0,0,0.5,0.5,0,0.716491,0,0,39660.072643,41900
0,0,0,0,0.5,0.666667,0.5,0.48071,0,0,44697.172409,45990
0,0,0,0,0,0.166667,0.75,0.26907,0,0,49228.652983,45900
0,0,0,0,0.5,0.5,0.25,0.326319,0,0,43052.482812,46500
0,0,0,0,0.5,0.166667,0,0.84546,0,0,39357.824691,39500
0,0,0,0,0.5,0.666667,0,0.583464,0,0,40037.112805,41900
0,0,0,0,0.5,0.166667,0.5,0.598436,0,0,44335.511144,47900
0,0,0,0,0.5,0.166667,0,0.412606,0,0,40752.940963,40990
0,0,0,0,0.5,0.166667,0.75,0.448724,0,0,47565.478307,49990
0,0,0,0,0,0.166667,0.5,0.224156,0,0,46792.386954,43300
0,0,0,0,0.5,1,0,0.674212,0,0,39653.924074,39000
0,0,0,0,0.5,0,0,0.630624,0,0,40073.816365,39990
0,0,0,0,0.5,0,0.75,0.733176,0,0,46273.453282,48200
0,0,0,0,0.5,0,0,0.501123,0,0,40500.301961,39900
0,0,0,0,0.5,1,0,0.575979,0,0,39967.832263,39900
0,0,0,0,0.5,1,0,0.381353,0,0,40619.50757,42900
0,0,0,0,0,0.333333,0.75,0.426267,0,0,48414.782966,47900
0,0,0,0,0.5,0.833333,1,0.085074,0,0,51767.266165,53281
0,0,0,0,0.5,0.333333,0.75,0.313983,0,0,48384.317702,44800
0,0,0,0,0.5,0,0,0.233887,0,0,41561.470985,39900
0,0,0,0,0.5,0.333333,0.75,0.501123,0,0,47477.090693,51900
0,0,0,0,0.5,0,0.5,0.875402,0,0,43354.76166,39000
0,0,0,0,0,0.333333,0.5,0.377611,0,0,45935.791217,47500
0,0,0,0,0,0,0,0.673291,0,0,40425.786829,42990
0,0,0,0,0.5,0.166667,0.75,0.748147,0,0,46338.98392,47000
0,0,0,0,0.5,0.666667,0.5,0.373494,0,0,45389.337243,44890
