@relation SP_KA-weka.filters.unsupervised.attribute.OrdinalToNumeric-Rfirst-last-weka.filters.unsupervised.attribute.Normalize-S1.0-T0.0_predicted

@attribute modelo numeric
@attribute marca numeric
@attribute combustivel numeric
@attribute cambio numeric
@attribute direcao numeric
@attribute cor numeric
@attribute ano numeric
@attribute quilometragem numeric
@attribute potenciamotor numeric
@attribute blindado numeric
@attribute predictedvalor numeric
@attribute valor numeric

@data
0,0,0,0,0.5,0.333333,0.75,0.49187,0,0,41125.31077,39990
0,0,0,0,0,0.166667,0.75,0.393454,0,0,41159.584077,43990
0,0,0,0,0,0.166667,0.75,0.527019,0,0,40689.51956,38500
0,0,0,0,0.5,0.333333,0,0.615783,0,0,34835.095763,38900
0,0,0,0,0.5,0,0.5,0.685188,0,0,38064.624099,40900
0,0,0,0,0.5,0,0.75,0.555138,0,0,40713.389123,41800
0,0,0,0,0,0,0.75,0.400484,0,0,41039.352058,41900
0,0,0,0,0.5,1,0,0.625435,0,0,35031.078095,29900
0,0,0,0,0,0,0.75,0.632465,0,0,40231.014944,40990
0,0,0,0,0,0.166667,0.75,0.280978,0,0,41559.993978,40000
0,0,0,0,0,0.166667,1,0.330186,0,0,43832.87919,47900
0,0,0,0,0.5,0.166667,0.25,0.759,0,0,36033.320308,37000
0,0,0,0,0,0,1,0.189592,0,0,44245.848351,44600
0,0,0,0,0.5,0.166667,1,0.2388,0,0,44390.040943,49990
0,0,0,0,0.5,0.833333,1,0.168503,0,0,45043.129597,44900
0,0,0,0,0,0,1,0.112265,0,0,44527.31262,43900
0,0,0,0,0,0,0.25,0.37969,0,0,36809.90544,35000
0,0,0,0,0,0.833333,0,0.639494,0,0,34801.777647,35000
0,0,0,0,0,0.166667,0.5,0.519989,0,0,38464.697065,39000
0,0,0,0,0.5,0,0.5,0.519989,0,0,38579.401341,37900
0,0,0,0,0,0.166667,1,0.168503,0,0,44422.662217,52000
0,0,0,0,0,0.833333,1,0.251453,0,0,44519.943559,45500
0,0,0,0,0,0,1,0.175532,0,0,44297.074918,48600
0,0,0,0,0.5,0.333333,0.5,0.349026,0,0,39302.782649,39800
0,0,0,0,0,0,0,0.477811,0,0,34892.892685,36890
0,0,0,0,0.5,0,0,0.813551,0,0,34317.864922,35900
0,0,0,0,0.5,0,1,0.140384,0,0,44647.829521,45500
0,0,0,0,0,0.5,0.75,0.341785,0,0,41536.505208,40000
0,0,0,0,0,0,0.75,0.168503,0,0,41866.132195,32900
