modelo,marca,combustivel,cambio,direcao,cor,ano,quilometragem,potenciamotor,blindado,valor
0,0,0,0,0,0,0.5,0.534048,0,0,39990
0,0,0,0,0,0.166667,0.75,0.702755,0,0,39990
0,0,0,0,0.5,0,0.5,0.449692,0,0,37500
0,0,0,0,0,0,0,0.252859,0,0,37490
0,0,0,0,0.5,0,0.5,0.611376,0,0,33000
0,0,0,0,0,0.166667,0.75,0.976921,0,0,39900
0,0,0,0,0,0.166667,0.75,0.583257,0,0,38000
0,0,0,0,0,0,0.75,0.402593,0,0,39000
0,0,0,0,0.5,0.166667,0,0.562167,0,0,35900
0,0,0,0,0,0.333333,0,0.646524,0,0,34990
0,0,0,0,0.5,0.5,0.5,0.127491,0,0,41000
0,0,0,0,0,0,0.75,0.386424,0,0,41900
0,0,0,0,0.5,0,0.5,0.212087,0,0,33500
0,0,0,0,0,0,0.75,0.367795,0,0,40900
0,0,0,0,0,0.333333,0.5,0.49187,0,0,38000
0,0,0,0,0.5,0,1,0.299959,0,0,46000
0,0,0,0,0,0,1,0.189592,0,0,44600
0,0,0,0,0,0.333333,0.75,0.266919,0,0,38900
0,0,0,0,0.5,0.166667,0.5,0.695732,0,0,38000
0,0,0,0,0,0.333333,0.75,0.204031,0,0,45900
0,0,0,0,0,0.5,0.25,0.456721,0,0,36990
0,0,0,0,0.5,0,1,0.168503,0,0,46900
0,0,0,0,0,0,0,0.583257,0,0,36850
0,0,0.5,0,0,0.666667,0,0.562167,0,0,37900
0,0,0,0,0,0.166667,1,0.54389,0,0,43900
0,0,0,0,0.5,0.166667,0,0.266919,0,0,37990
0,0,0,0,0,0.166667,0.75,0.625435,0,0,39900
0,0,0,0,0.5,0,0,0.477811,0,0,30500
0,0,0,0,0.5,0,0.5,0.330186,0,0,39900
0,0,0,0,0,0.166667,0,0.611376,0,0,34790
0,0,0,0,0.5,0,1,0.252086,0,0,42990
0,0,0,0,0.5,0,0,0.737911,0,0,29900
0,0,0,0,0.5,0.5,0,0.435632,0,0,34500
0,0,0,0,0,0.166667,1,0.316127,0,0,48900
0,0,0,0,0,0,1,0.610673,0,0,40990
0,0,0,0,0,0,0.25,0.522098,0,0,35900
0,0,0,0,0,0.166667,0,0.560972,0,0,33000
0,0,0,0,0.5,0.166667,0,0.625435,0,0,36900
0,0,0,0,0,0,1,0.077116,0,0,37900
0,0,0,0,0,0.5,0.75,0.477811,0,0,40500
0,0,0,0,0.5,0,0.75,0.632465,0,0,37990
0,0,0,0,0,0,0,0.497417,0,0,36900
0,0,0,0,0.5,0,1,0.021581,0,0,48890
0,0,0,0,0.5,0,0,0.615846,0,0,34980
0,0,0,0,0,0.166667,0.75,0.266919,0,0,41900
0,0,0,0,0,0.5,1,0.379394,0,0,45500
0,0,0,0,0,0.166667,0.75,0.29082,0,0,38900
0,0,0,0,0.5,0.166667,1,0.295038,0,0,43000
0,0,0,0,0.5,0,0.75,0.337216,0,0,41900
0,0,0,0,0,0.166667,0.75,0.273949,0,0,43900
0,0,0,0,0.5,0.333333,0.25,0.372365,0,0,36500
0,0,0,0,0.5,0.333333,0.75,0.418058,0,0,38900
0,0,0,0,0,0.333333,1,0.323157,0,0,42900
0,0,0,0,0.5,0.333333,0.75,0.24583,0,0,42500
0,0,0,0,0,0.166667,0.75,0.527019,0,0,39900
0,0,0,0,0,0,1,0.330186,0,0,46900
0,0,0,0,0.5,0.5,0,0.516622,0,0,34890
0,0,0,0,0.5,0.333333,0,0.400484,0,0,35900
0,0,0,0,0,0,0.5,0.379394,0,0,38500
0,0,0,0,0,0,0.75,0.353384,0,0,41900
0,0,0,0,0.5,0.166667,1,0.2388,0,0,49990
0,0,0,0,0,0.166667,0.75,0.295038,0,0,40900
0,0,0,0,0.5,0.166667,0.5,0.442662,0,0,39900
0,0,0,0,0.5,0.333333,1,0.124384,0,0,48990
0,0,0,0,0,0.833333,1,0.248642,0,0,46000
0,0,0,0,0,0.166667,0.5,0.519989,0,0,39000
0,0,0,0,0,0.333333,0.5,0.539672,0,0,36700
0,0,0,0,0,0.833333,1,0.393454,0,0,44900
0,0,0,0,0,0,1,0.299185,0,0,45990
0,0,0,0,0,0.333333,0.75,0.435632,0,0,39900
0,0,0,0,0.5,1,0,0.625435,0,0,29900
0,0,0,0,0.5,0,0.5,0.555138,0,0,36900
0,0,0,0,0.5,0,0.75,0.49187,0,0,40899
0,0,0,0,0,0.166667,0.75,0.527019,0,0,38500
0,0,0,0,0.5,0.166667,1,0.126324,1,0,48990
0,0,0,0,0,0,0.75,0.330116,0,0,39900
0,0,0,0,0,0.5,1,0.119294,0,0,47800
0,0,0,0,0,0.666667,0,0.580445,0,0,34000
0,0,0,0,0,0.166667,1,0.126324,0,0,47000
0,0,0,0,0.5,0,1,0.36563,0,0,42490
0,0,0,0,0.5,0.166667,0.75,0.347128,0,0,40900
0,0,0,0,0,0,0,0.477811,0,0,36890
0,0,0,0,0,0,0.75,0.358305,0,0,41900
0,0,0,0,0.5,0.333333,0.75,0.463751,0,0,39900
0,0,0,0,0,0.166667,0.75,0.386424,0,0,38900
