modelo,marca,combustivel,cambio,direcao,cor,ano,quilometragem,potenciamotor,blindado,valor
1114,27,4,2,1,9,2019,62158,1.0,0,44000
1114,27,4,2,1,0,2018,48000,1.0,0,44800
1114,27,4,2,2,0,2016,10000,1.0,0,42000
1114,27,4,2,1,9,2019,13800,1.0,0,45000
1114,27,4,2,2,0,2017,44000,1.0,0,47000
1114,27,4,2,1,0,2016,74000,1.0,0,38990
1114,27,4,2,1,7,2018,52000,1.0,0,52500
1114,27,4,2,1,9,2018,43000,1.0,0,52300
1114,27,4,2,1,8,2018,40000,1.0,0,53000
1114,27,4,2,2,7,2018,52000,1.0,0,52999
1114,27,4,2,1,9,2018,66000,1.0,0,47000
1114,27,4,2,1,0,2015,37000,1.0,0,37800
1114,27,4,2,1,0,2019,38000,1.0,0,51000
1114,27,4,2,2,7,2019,31000,1.0,0,49000
1114,27,4,2,2,0,2015,64000,1.0,0,34700
1114,27,4,2,1,9,2019,40000,1.0,0,49700
1114,27,4,2,1,9,2019,69852,1.0,0,56500
1114,27,4,2,2,8,2016,1,1.0,0,42000
1114,27,4,2,2,9,2017,31000,1.0,0,44300
1114,27,4,2,2,7,2015,56000,1.0,0,37990
1114,27,4,0,2,6,2015,37000,1.0,0,35000
1114,27,4,2,1,7,2018,75000,1.0,0,45000
1114,27,4,2,2,0,2015,60000,1.0,0,38000
1114,27,4,2,2,0,2019,19580,1.0,0,55000
1114,27,4,2,2,5,2018,52000,1.0,0,47500
1114,27,4,2,2,0,2016,61500,1.0,0,40500
1114,27,4,2,1,7,2018,52000,1.0,0,52999
1114,27,4,2,2,0,2015,110000,1.0,0,39500
1114,27,4,2,2,7,2019,30600,1.0,0,52000
1114,27,4,2,1,0,2019,29000,1.0,0,55000
1114,27,4,2,1,9,2018,65629,1.0,0,48000
1114,27,4,2,1,0,2019,59000,1.0,0,52500
1114,27,4,2,1,0,2019,60000,1.0,0,50500
1114,27,4,2,1,0,2019,70000,1.0,0,51000
1114,27,4,2,1,9,2019,46000,1.0,0,51000
1114,27,4,2,1,9,2019,60000,1.0,0,53500
1114,27,4,2,1,7,2017,65000,1.0,0,44900
1114,27,4,2,1,9,2019,44000,1.0,0,52000
1114,27,4,2,2,9,2016,89,1.0,0,38000
1114,27,4,2,2,9,2017,34000,1.0,1,45000
1114,27,4,2,2,0,2019,16000,1.0,0,48158
1114,27,4,2,2,2,2019,36000,1.0,0,52000
1114,27,4,2,2,0,2016,90000,1.0,0,41900
1114,27,4,2,2,0,2016,80,1.0,0,37500
1114,27,4,2,1,0,2019,52000,1.0,0,53000
1114,27,4,2,2,9,2015,130,1.0,0,37500
1114,27,4,2,2,0,2016,68000,1.0,0,41000
1114,27,4,2,2,0,2015,92000,1.0,0,38000
1114,27,4,2,1,9,2019,47128,1.0,0,51000
1114,27,4,2,1,9,2018,44700,1.0,0,48500
1114,27,4,2,1,0,2019,31000,1.0,0,55000
1114,27,4,2,2,9,2016,70896,1.0,0,42000
1114,27,4,2,1,9,2019,53000,1.0,0,48500
1114,27,4,2,1,2,2019,14547,1.0,0,47500
1114,27,4,2,2,0,2015,36200,1.0,0,39500
1114,27,4,2,1,0,2019,60000,1.0,0,49800
1114,27,4,2,2,0,2016,68,1.0,0,41000
1114,27,4,2,2,0,2015,47708,1.0,0,38500
1114,27,4,2,1,0,2019,37000,1.0,0,55900
1114,27,4,2,2,9,2016,100,1.0,0,39000
1114,27,4,2,1,0,2019,26000,1.0,0,57000
1114,27,4,2,2,0,2018,52000,1.0,0,42350
1114,27,4,2,1,7,2019,14400,1.0,0,39000
1114,27,4,2,2,6,2015,75000,1.0,0,26000
1114,27,4,2,2,2,2018,22000,1.4,0,53000
1114,27,4,2,1,7,2019,14400,1.0,0,37000
1114,27,4,2,2,2,2018,30000,1.0,0,51500
1114,27,6,2,2,2,2017,64000,1.0,0,46000
1114,27,4,2,1,7,2019,14400,1.0,0,36500
1114,27,4,2,1,0,2018,52000,1.0,0,48500
1114,27,4,2,3,0,2017,50000,1.0,0,49500
1114,27,4,2,2,0,2018,52000,1.0,0,42300
1114,27,4,2,0,7,2018,30000,1.0,0,50000
1114,27,4,2,2,0,2016,38400,1.0,0,42500
1114,27,4,2,2,2,2018,20000,1.0,0,46500
1114,27,6,2,2,7,2016,60000,1.0,0,40500
1114,27,6,2,2,9,2019,66500,1.0,0,45000
1114,27,4,2,2,0,2018,52000,1.0,0,42500
1114,27,4,2,2,0,2015,69000,1.0,0,34000
1114,27,4,2,2,5,2016,95000,1.0,0,41999
1114,27,4,2,1,2,2018,34000,1.0,0,50500
1114,27,4,2,1,0,2018,54000,1.0,0,51000
1114,27,4,2,1,5,2018,68000,1.0,0,50000
1114,27,4,2,1,0,2018,25000,1.0,0,50000
1114,27,4,2,2,0,2016,38400,1.0,0,41500
1114,27,4,2,2,0,2016,100000,1.0,0,37000
1114,27,4,2,2,0,2016,80000,1.0,0,39000
1114,27,4,2,2,0,2017,48000,1.0,0,49900
1114,27,4,2,1,8,2019,29000,1.0,0,55000
1114,27,6,2,2,7,2016,61000,1.0,0,40500
1114,27,4,2,2,7,2018,48000,1.0,0,45000
1114,27,4,2,2,1,2019,17000,1.0,0,57000
1114,27,4,2,1,0,2019,21000,1.0,0,47200
1114,27,4,2,1,9,2019,23500,1.0,0,56500
1114,27,4,2,2,0,2018,52000,1.0,0,42150
1114,27,4,2,2,5,2016,95000,1.0,0,38900
1114,27,4,2,2,2,2016,33800,1.0,0,42000
1114,27,4,2,1,9,2017,37300,1.0,0,46990
1114,27,4,2,2,6,2015,106000,1.0,0,39900
1114,27,4,2,1,2,2017,35700,1.0,0,45000
1114,27,4,2,2,5,2019,28000,1.0,0,53999
1114,27,6,2,2,7,2018,32000,1.0,0,51000
1114,27,4,2,2,2,2019,36300,1.0,0,52000
1114,27,4,2,1,5,2019,38600,1.0,0,52400
1114,27,4,2,1,9,2019,47128,1.0,0,50000
1114,27,4,2,2,0,2015,90000,1.0,0,38500
1114,27,4,2,2,5,2017,70000,1.0,0,48500
1114,27,4,2,2,7,2018,42000,1.0,0,51000
1114,27,4,2,2,5,2018,16000,1.0,0,56000
1114,27,4,2,2,0,2016,80000,1.0,0,38000
1114,27,4,2,2,0,2015,78000,1.0,0,37900
1114,27,4,2,2,5,2017,60000,1.0,0,41500
1114,27,4,2,2,0,2019,25000,1.0,0,55000
1114,27,4,2,2,6,2019,26000,1.0,0,53500
