modelo,marca,combustivel,cambio,direcao,cor,ano,quilometragem,potenciamotor,blindado,valor
1,12,5,0,2,9,2018,49906,2.0,0,150900.0
3,30,6,0,2,3,2017,25000,2.0,0,283000.0
5,65,5,0,2,0,2017,137000,3.0,0,139000.0
5,65,5,0,2,0,2016,108900,3.0,0,128900.0
5,65,5,0,2,7,2015,89000,3.0,0,124499.0
5,65,5,0,2,7,2015,161000,3.0,0,117890.0
5,65,5,0,2,9,2015,129000,3.0,0,110000.0
5,65,5,0,2,0,2015,178000,3.0,0,105000.0
5,65,5,0,2,7,2016,121000,3.0,1,135900.0
5,65,5,0,2,9,2015,159678,3.0,0,114900.0
5,65,5,0,2,8,2015,126500,3.0,0,127000.0
5,65,5,0,2,8,2015,127000,3.0,0,127000.0
7,8,4,2,1,2,2015,46500,1.5,0,38000.0
7,8,4,2,2,9,2016,86000,1.5,0,41000.0
9,71,4,2,2,7,2015,27500,1.4,0,37990.0
9,71,4,2,2,5,2016,76000,1.4,0,39500.0
9,71,4,2,2,9,2015,88000,1.4,0,34990.0
9,71,4,2,2,5,2015,83000,1.4,0,37990.0
9,71,4,2,2,7,2016,84976,1.4,0,39990.0
9,71,4,2,2,8,2015,102000,1.4,0,35900.0
9,71,4,2,2,5,2015,119000,1.4,0,34800.0
9,71,4,2,2,7,2016,101571,1.4,0,41900.0
9,71,4,2,2,0,2015,124000,1.4,0,36900.0
9,71,4,2,2,2,2016,115041,1.4,0,35500.0
9,71,4,2,2,5,2015,115000,1.4,0,34900.0
9,71,4,2,2,5,2016,76000,1.4,0,40900.0
9,71,4,2,2,9,2015,82000,1.4,0,36900.0
9,71,4,2,2,5,2015,20000,1.4,1,35500.0
9,71,4,2,2,9,2016,45000,1.4,0,42900.0
9,71,4,2,2,7,2015,105000,1.4,0,34999.0
9,71,4,2,2,5,2015,65500,1.4,0,38900.0
9,71,2,2,2,5,2015,153000,1.4,0,37500.0
9,71,4,2,2,5,2015,75000,1.4,0,36000.0
9,71,4,2,2,9,2015,50000,1.4,0,36490.0
10,71,5,2,2,0,2015,115123,2.0,0,92000.0
10,71,5,2,2,0,2016,89000,2.0,0,86000.0
10,71,5,2,2,3,2016,63000,2.0,0,35000.0
10,71,5,2,2,0,2015,86364,2.0,0,73900.0
14,57,6,0,1,0,2016,60000,2.0,0,143900.0
14,57,6,0,2,0,2016,72000,2.0,0,145000.0
14,57,6,0,2,0,2016,72000,2.0,0,145000.0
17,42,4,2,1,7,2016,84000,1.0,0,42500.0
17,42,4,2,2,9,2017,79200,1.0,0,51900.0
17,42,4,2,2,8,2017,190000,1.0,0,52000.0
19,73,4,0,1,0,2019,13602,1.6,0,69000.0
19,73,4,0,1,7,2019,15031,1.6,0,54320.0
