modelo,marca,combustivel,cambio,direcao,cor,ano,quilometragem,potenciamotor,blindado,valor
4095,42,4,2,1,0,2019,40250,1.0,0,51490.0
4095,42,4,2,1,7,2018,78000,1.0,0,46900.0
4095,42,4,2,2,0,2017,82345,1.0,0,43900.0
4095,42,4,2,1,9,2016,29000,1.0,0,43900.0
4095,42,4,2,2,9,2019,59000,1.0,0,52890.0
4095,42,4,2,2,0,2017,59000,1.0,0,41000.0
4095,42,4,2,1,7,2016,92000,1.0,0,38700.0
4095,42,4,2,2,0,2017,100000,1.0,0,32000.0
4095,42,4,2,2,6,2015,95771,1.0,0,41900.0
4095,42,4,2,2,9,2016,99500,1.0,0,37000.0
4095,42,4,2,2,9,2015,101301,1.0,0,42400.0
4095,42,4,2,2,7,2019,26117,1.0,0,52500.0
4095,42,4,2,2,9,2018,63000,1.0,0,47900.0
4095,42,4,2,2,5,2017,75000,1.0,0,43900.0
4095,42,4,2,2,0,2017,48000,1.0,0,41800.0
4095,42,4,2,2,0,2019,38000,1.0,0,54990.0
4095,42,4,2,1,7,2018,11000,1.0,0,51900.0
4095,42,4,2,2,8,2017,61000,1.0,0,41000.0
4095,42,4,2,2,7,2015,55175,1.0,0,40990.0
4095,42,4,2,2,0,2018,42500,1.0,0,48000.0
4095,42,4,2,1,9,2018,34800,1.0,0,47500.0
4095,42,4,2,2,9,2016,100253,1.0,0,41900.0
4095,42,4,2,2,0,2015,88896,1.0,0,36000.0
4095,42,4,2,2,7,2018,100000,1.0,0,47000.0
4095,42,4,2,2,0,2018,62000,1.0,0,45900.0
4095,42,4,2,2,7,2017,76,1.0,0,41900.0
4095,42,4,2,2,8,2016,54890,1.0,0,40990.0
4095,42,4,2,1,0,2015,86000,1.0,0,45900.0
4095,42,4,2,2,5,2016,49552,1.0,0,39500.0
4095,42,4,2,2,9,2016,34000,1.0,0,43900.0
4095,42,4,2,2,9,2019,13700,1.0,0,51900.0
4095,42,4,2,2,9,2019,59000,1.0,0,54900.0
4095,42,4,2,2,9,2019,13700,1.0,0,51900.0
4095,42,4,2,2,7,2017,131294,1.0,0,46900.0
