modelo,marca,combustivel,cambio,direcao,cor,ano,quilometragem,potenciamotor,blindado,valor
4159,8,4,2,1,0,2017,76000,1.0,0,39990.0
4159,8,4,2,1,9,2018,99999,1.0,0,39990.0
4159,8,4,2,1,0,2015,36000,1.0,0,37490.0
4159,8,4,2,2,0,2017,64000,1.0,0,37500.0
4159,8,4,2,2,0,2017,87000,1.0,0,33000.0
4159,8,4,2,1,9,2018,139000,1.0,0,39900.0
4159,8,4,2,1,9,2018,83000,1.0,0,38000.0
4159,8,4,2,2,9,2015,80000,1.0,0,35900.0
4159,8,4,2,1,0,2018,57300,1.0,0,39000.0
4159,8,4,2,2,2,2017,18166,1.0,0,41000.0
4159,8,4,2,1,0,2018,55000,1.0,0,41900.0
4159,8,4,2,1,7,2015,92000,1.0,0,34990.0
4159,8,4,2,2,0,2017,30200,1.0,0,33500.0
4159,8,4,2,1,0,2018,52350,1.0,0,40900.0
4159,8,4,2,1,7,2017,70000,1.0,0,38000.0
4159,8,4,2,2,0,2019,42700,1.0,0,46000.0
4159,8,4,2,1,0,2019,27000,1.0,0,44600.0
4159,8,4,2,1,7,2018,38000,1.0,0,38900.0
4159,8,4,2,1,7,2018,29054,1.0,0,45900.0
4159,8,4,2,2,9,2017,99000,1.0,0,38000.0
4159,8,4,2,1,2,2016,65000,1.0,0,36990.0
4159,8,4,2,2,0,2019,24000,1.0,0,46900.0
4159,8,4,2,1,0,2015,83000,1.0,0,36850.0
4159,8,2,2,1,8,2015,80000,1.0,0,37900.0
4159,8,4,2,1,9,2019,77400,1.0,0,43900.0
4159,8,4,2,2,9,2015,38000,1.0,0,37990.0
4159,8,4,2,1,9,2018,89000,1.0,0,39900.0
4159,8,4,2,2,0,2015,68000,1.0,0,30500.0
4159,8,4,2,2,0,2017,47000,1.0,0,39900.0
4159,8,4,2,1,9,2015,87000,1.0,0,34790.0
4159,8,4,2,2,0,2019,35890,1.0,0,42990.0
4159,8,4,2,2,0,2015,105000,1.0,0,29900.0
4159,8,4,2,2,2,2015,62000,1.0,0,34500.0
4159,8,4,2,1,0,2019,86900,1.0,0,40990.0
4159,8,4,2,1,9,2019,45000,1.0,0,48900.0
4159,8,4,2,1,0,2016,74300,1.0,0,35900.0
4159,8,4,2,1,9,2015,79830,1.0,0,33000.0
4159,8,4,2,1,0,2019,11000,1.0,0,37900.0
4159,8,4,2,1,2,2018,68000,1.0,0,40500.0
4159,8,4,2,2,9,2015,89000,1.0,0,36900.0
4159,8,4,2,2,0,2018,90000,1.0,0,37990.0
4159,8,4,2,2,0,2019,3100,1.0,0,48890.0
4159,8,4,2,1,0,2015,70789,1.0,0,36900.0
4159,8,4,2,2,0,2015,87636,1.0,0,34980.0
4159,8,4,2,1,9,2018,38000,1.0,0,41900.0
4159,8,4,2,1,2,2019,54000,1.0,0,45500.0
4159,8,4,2,1,9,2018,41400,1.0,0,38900.0
4159,8,4,2,2,9,2019,42000,1.0,0,43000.0
4159,8,4,2,2,0,2018,48000,1.0,0,41900.0
4159,8,4,2,1,9,2018,39000,1.0,0,43900.0
4159,8,4,2,2,7,2016,53000,1.0,0,36500.0
4159,8,4,2,2,7,2018,59500,1.0,0,38900.0
4159,8,4,2,1,7,2019,46000,1.0,0,42900.0
4159,8,4,2,2,7,2018,35000,1.0,0,42500.0
4159,8,4,2,1,9,2018,75000,1.0,0,39900.0
4159,8,4,2,1,0,2019,47000,1.0,0,46900.0
4159,8,4,2,2,2,2015,73521,1.0,0,34890.0
4159,8,4,2,2,7,2015,57000,1.0,0,35900.0
4159,8,4,2,1,0,2017,54000,1.0,0,38500.0
4159,8,4,2,1,0,2018,50300,1.0,0,41900.0
4159,8,4,2,2,9,2019,34000,1.0,0,49990.0
4159,8,4,2,2,9,2017,63000,1.0,0,39900.0
4159,8,4,2,1,9,2018,42000,1.0,0,40900.0
4159,8,4,2,2,7,2019,17724,1.0,0,48990.0
4159,8,4,2,1,5,2019,35400,1.0,0,46000.0
4159,8,4,2,1,7,2017,76800,1.0,0,36700.0
4159,8,4,2,1,9,2017,74000,1.0,0,39000.0
4159,8,4,2,1,5,2019,56000,1.0,0,44900.0
4159,8,4,2,2,0,2017,79000,1.0,0,36900.0
4159,8,4,2,1,7,2018,62000,1.0,0,39900.0
4159,8,4,2,2,4,2015,89000,1.0,0,29900.0
4159,8,4,2,1,0,2019,42590,1.0,0,45990.0
4159,8,4,2,1,9,2018,75000,1.0,0,38500.0
4159,8,4,2,2,0,2018,70000,1.0,0,40899.0
4159,8,4,2,2,9,2019,18000,1.8,0,48990.0
4159,8,4,2,1,0,2018,46990,1.0,0,39900.0
4159,8,4,2,1,2,2019,17000,1.0,0,47800.0
4159,8,4,2,1,8,2015,82600,1.0,0,34000.0
4159,8,4,2,1,9,2019,18000,1.0,0,47000.0
4159,8,4,2,2,0,2019,52042,1.0,0,42490.0
4159,8,4,2,2,9,2018,49410,1.0,0,40900.0
4159,8,4,2,1,0,2015,68000,1.0,0,36890.0
4159,8,4,2,1,0,2018,51000,1.0,0,41900.0
4159,8,4,2,2,7,2018,66000,1.0,0,39900.0
4159,8,4,2,1,9,2018,55000,1.0,0,38900.0
4159,8,4,2,2,7,2018,43700,1.0,0,40300.0
4159,8,4,2,1,0,2019,21600,1.0,0,43500.0
4159,8,4,2,2,0,2019,37000,1.0,0,47800.0
4159,8,4,2,1,0,2015,72562,1.0,0,34790.0
4159,8,4,2,1,0,2017,110000,1.0,0,39990.0
4159,8,4,2,2,7,2018,64000,1.0,0,39900.0
