id,description
0,TROLLER
1,HAFEI
2,LIFAN
3,JINBEI
4,ASIA MOTORS
5,SHINERAY
6,BUGGY
7,DODGE
8,SSANGYONG
9,FORD
10,CHRYSLER
11,JAC
12,INFINITI
13,NISSAN
14,MINI
15,SUZUKI
16,WAKE
17,LEXUS
18,FIBRAVAN
19,TOYOTA
20,JAGUAR
21,KIA MOTORS
22,MG
23,AMERICAR
24,SEAT
25,MERCEDES-BENZ
26,CHERY
27,GM - CHEVROLET
28,BRM
29,JEEP
30,AUDI
31,IVECO
32,EFFA
33,PORSCHE
34,MITSUBISHI
35,MAZDA
36,GEELY
37,HONDA
38,ACURA
39,PEUGEOT
40,RENAULT
41,FIAT
42,FYBER
43,BUGRE
44,CITROEN
45,VW - VOLKSWAGEN
46,LAND ROVER
47,BMW
48,VOLVO
49,HYUNDAI
50,AGRALE
