id,description
0,ALFA ROMEO
1,HITECH ELETRIC
3,DAIHATSU
4,JINBEI
2,HAFEI
5,LIFAN
6,SHINERAY
7,DODGE
8,FORD
9,CHRYSLER
10,DKW VEMAG
12,NISSAN
11,JAC
13,MINI
16,SUBARU
15,WAKE
17,CBT JIPE
14,CADILLAC
18,LEXUS
19,RAM
20,PONTIAC
21,ENGESA
22,TOYOTA
23,JPX
24,ENVEMO
25,KIA MOTORS
26,MG
27,CHERY
28,BRM
29,JEEP
31,EFFA
30,AUDI
32,PORSCHE
33,MP LAFER
34,RELY
35,PEUGEOT
36,RENAULT
37,FYBER
38,MCLAREN
39,MERCURY
40,CITROEN
41,SMART
42,HYUNDAI
43,LAMBORGHINI
44,TROLLER
45,ASIA MOTORS
46,BUGGY
47,CHANGAN
48,SSANGYONG
49,INFINITI
50,SUZUKI
51,FERRARI
52,DAEWOO
53,JAGUAR
54,AMERICAR
55,SEAT
56,LADA
57,MERCEDES-BENZ
58,CHANA
59,PUMA
60,GM - CHEVROLET
61,MIURA
62,FOTON
63,IVECO
64,GURGEL
65,MITSUBISHI
66,GEELY
67,MAZDA
68,HONDA
69,ACURA
70,MAHINDRA
71,FIAT
72,BUGRE
73,VW - VOLKSWAGEN
74,BMW
75,LAND ROVER
76,VOLVO
77,MASERATI
