id,description
0,FORD FIESTA CLASS 1.0 4P
1,RENAULT MEGANE GRAND TOUR DYNAM. HI-FLEX 1.6 16V
2,RENAULT CLIO RL/ JP/AUTH.1.0/1.0 HI-POWER 16V 5P
3,AUDI A5 SPORTBACK 2.0 16V TFSI 211CV MULTI.
4,GM - CHEVROLET TRACKER LTZ 1.0 TURBO 12V FLEX AUT
5,BUGGY BUGGY 1.6 2-LUG.
6,MITSUBISHI L200 TRITON HPE 3.2 CD TB INT.DIESEL AUT
7,CHRYSLER PT CRUISER CLASSIC 2.4 16V 143CV 4P
8,PEUGEOT 206 SW ESCAPADE 1.6 16V FLEX 5P
11,FIAT STRADA WORKING HARD 1.4 FIRE FLEX 8V CD
9,FORD 
10,VW - VOLKSWAGEN GOL 1.0 PLUS 8V 2P
14,GM - CHEVROLET SONIC HB LT 1.6 16V FLEXPOWER 5P AUT.
12,FIAT IDEA ATTRACTIVE 1.4 FIRE FLEX 8V 5P
13,RENAULT KWID 1.0 ZEN
15,PEUGEOT 208 ALLURE 1.5 FLEX 8V 5P
16,FORD ESCORT GL 1.8I 16V 4P
17,GM - CHEVROLET ASTRA GLS 2.0 MPFI SW
20,FIAT PALIO SPORTING DUAL. B.EDIT. 1.6 FLEX 5P
18,MERCEDES-BENZ GLA-250 ENDURO 2.0 TB 16V 211CV AUT.
19,RENAULT DUSTER AUTHENT. 1.6 FLEX 16V AUT.(PCD)
21,HYUNDAI HB20S COMFORT STYLE 1.0 TB FLEX 12V MEC.
22,GM - CHEVROLET VECTRA ELITE 2.4 MPFI 16V FLEXPOWER AUT.
24,HYUNDAI TUCSON 2.0 16V MEC.
23,VW - VOLKSWAGEN POLO 1.6 MSI TOTAL FLEX 16V 5P AUT
25,HYUNDAI TUCSON 2.0 16V AUT.
26,JEEP COMPASS LONGITUDE 2.0 4X2 FLEX 16V AUT.
27,NISSAN VERSA SV 1.6 16V FLEX FUEL 4P MEC.
28,VW - VOLKSWAGEN GOLF 1.8 MI SPORT 150CV TURBO MEC/AUT.
29,FIAT STRADA SPORTING 1.8 FLEX 16V CE
30,GM - CHEVROLET CELTA SPIRIT/ LT 1.0 MPFI 8V FLEXP. 5P
31,BMW X6 XDRIVE 50I 4.4 407CV BI-TURBO
33,VW - VOLKSWAGEN SAVEIRO TROOPER 1.6 MI TOTAL FLEX 8V CE
32,CITROEN C3 OCIMAR VERSOLATO 1.6 16V 110CV 5P
34,FIAT 
35,TOYOTA COROLLA FIELDER SW S 1.8 16V 136CV MEC
36,FIAT PALIO WEEKEND 1.6 MPI 16V 4P
38,GM - CHEVROLET TRACKER PREMIER 1.4 TURBO 16V FLEX AUT
37,FORD ECOSPORT XLS FREESTYLE 1.6 FLEX 8V 5P
40,HYUNDAI HB20S STYLE 1.6 FLEX 16V AUT.
39,VW - VOLKSWAGEN UP! RUN I MOTION 1.0 TOTAL FLEX 12V 5P
41,RENAULT SANDERO STEP. R. CURL HI-POWER 1.6 8V 5P
42,FORD ECOSPORT FREESTYLE 2.0 16V FLEX 5P AUT.
43,CITROEN C4 GLX 2.0 FLEX 16V 5P MEC.
44,LAND ROVER FREELANDER2 S 2.2 SD4 190CV T.DIESEL
45,MERCEDES-BENZ SPRINTER 311 STREET STD. 2.2 16LUG. DIES
46,FIAT PREMIO CSL 1.6/ 1.5
47,PEUGEOT BOXER 2.3 MINIBUS 15/16L TB DIESEL.
48,CITROEN C4 PALLAS GLX 2.0/2.0 FLEX 16V MEC.
49,FIAT PALIO WAY CELEBRATION 1.0 F. FLEX 8V 5P
50,FIAT SIENA ELX 1.8 MPI 8V 103CV 4P
51,GM - CHEVROLET VECTRA ELITE 2.0 MPFI 8V FLEXPOWER AUT.
52,RENAULT MEGANE G. TOUR EXTREME 2.0 16V AUT.
53,VW - VOLKSWAGEN POLO 1.0 FLEX 12V 5P
